Proteotoxic Stress Proteins		
This table was generated by retriving a list of heat shock and autophagy proteins found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
Integral membrane protein GPR137B (Transmembrane 7 superfamily member 1 protein)	GPR137B TM7SF1	autophagy [GO:0006914]; negative regulation of bone resorption [GO:0045779]; negative regulation of osteoclast differentiation [GO:0045671]; positive regulation of protein localization to lysosome [GO:0150032]; positive regulation of TORC1 signaling [GO:1904263]; regulation of autophagy [GO:0010506]; regulation of GTPase activity [GO:0043087]; regulation of macrophage activation [GO:0043030]
Protein Aster-A (GRAM domain-containing protein 1A)	GRAMD1A KIAA1533	autophagy [GO:0006914]; cellular response to cholesterol [GO:0071397]; intracellular sterol transport [GO:0032366]
Huntingtin-associated protein 1 (HAP-1) (Neuroan 1)	HAP1 HAP2 HLP1	anterograde axonal transport [GO:0008089]; autophagy [GO:0006914]; brain development [GO:0007420]; cell projection organization [GO:0030030]; cerebellum development [GO:0021549]; chemical synaptic transmission [GO:0007268]; exocytosis [GO:0006887]; hypothalamus cell differentiation [GO:0021979]; intracellular protein localization [GO:0008104]; mitochondrion distribution [GO:0048311]; negative regulation of amyloid-beta formation [GO:1902430]; neurogenesis [GO:0022008]; neurotrophin TRK receptor signaling pathway [GO:0048011]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity [GO:0031587]; positive regulation of neurogenesis [GO:0050769]; positive regulation of neurotrophin production [GO:0032901]; positive regulation of non-motile cilium assembly [GO:1902857]; positive regulation of synaptic transmission, GABAergic [GO:0032230]; protein targeting [GO:0006605]; protein transport [GO:0015031]; regulation of exocytosis [GO:0017157]; regulation of organelle transport along microtubule [GO:1902513]; retrograde axonal transport [GO:0008090]; vesicle transport along microtubule [GO:0047496]
Polyamine deacetylase HDAC10 (EC 3.5.1.48) (EC 3.5.1.62) (Histone deacetylase 10) (HD10)	HDAC10	chromatin organization [GO:0006325]; DNA repair [GO:0006281]; homologous recombination [GO:0035825]; macroautophagy [GO:0016236]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; polyamine deacetylation [GO:0106047]; positive regulation of mismatch repair [GO:0032425]; regulation of DNA-templated transcription [GO:0006355]; spermidine deacetylation [GO:0106048]
Protein deacetylase HDAC6 (EC 3.5.1.-) (E3 ubiquitin-protein ligase HDAC6) (EC 2.3.2.-) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	HDAC6 KIAA0901 JM21	actin filament organization [GO:0007015]; aggresome assembly [GO:0070842]; axonal transport of mitochondrion [GO:0019896]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to misfolded protein [GO:0071218]; cellular response to topologically incorrect protein [GO:0035967]; cilium assembly [GO:0060271]; cilium disassembly [GO:0061523]; collateral sprouting [GO:0048668]; dendritic spine morphogenesis [GO:0060997]; epidermal growth factor receptor signaling pathway [GO:0007173]; erythrocyte enucleation [GO:0043131]; intracellular protein transport [GO:0006886]; lysosome localization [GO:0032418]; negative regulation of aggrephagy [GO:1905336]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of hydrogen peroxide metabolic process [GO:0010727]; negative regulation of microtubule depolymerization [GO:0007026]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of protein-containing complex disassembly [GO:0043242]; negative regulation of proteolysis [GO:0045861]; polyubiquitinated misfolded protein transport [GO:0070845]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of protein oligomerization [GO:0032461]; positive regulation of type 2 mitophagy [GO:1905091]; protein deacetylation [GO:0006476]; protein destabilization [GO:0031648]; protein polyubiquitination [GO:0000209]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; protein-containing complex disassembly [GO:0032984]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of autophagy [GO:0010506]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of establishment of protein localization [GO:0070201]; regulation of fat cell differentiation [GO:0045598]; regulation of macroautophagy [GO:0016241]; regulation of microtubule-based movement [GO:0060632]; regulation of protein stability [GO:0031647]; response to misfolded protein [GO:0051788]; tubulin deacetylation [GO:0090042]; type 2 mitophagy [GO:0061734]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]
High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	activation of innate immune response [GO:0002218]; apoptotic cell clearance [GO:0043277]; autophagy [GO:0006914]; base-excision repair [GO:0006284]; cellular response to interleukin-7 [GO:0098761]; cellular response to lipopolysaccharide [GO:0071222]; chromatin remodeling [GO:0006338]; dendritic cell chemotaxis [GO:0002407]; DNA geometric change [GO:0032392]; DNA recombination [GO:0006310]; DNA topological change [GO:0006265]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; endothelial cell chemotaxis [GO:0035767]; endothelial cell proliferation [GO:0001935]; eye development [GO:0001654]; glycogen catabolic process [GO:0005980]; heterochromatin formation [GO:0031507]; inflammatory response [GO:0006954]; inflammatory response to antigenic stimulus [GO:0002437]; innate immune response [GO:0045087]; lung development [GO:0030324]; macrophage activation involved in immune response [GO:0002281]; myeloid cell differentiation [GO:0030099]; myeloid dendritic cell activation [GO:0001773]; myeloid progenitor cell differentiation [GO:0002318]; negative regulation of apoptotic cell clearance [GO:2000426]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043371]; negative regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0017055]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; neuron projection development [GO:0031175]; neutrophil clearance [GO:0097350]; plasmacytoid dendritic cell activation [GO:0002270]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagy [GO:0010508]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000343]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendritic cell differentiation [GO:2001200]; positive regulation of DNA binding [GO:0043388]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glycogen catabolic process [GO:0045819]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of JNK cascade [GO:0046330]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mismatch repair [GO:0032425]; positive regulation of monocyte chemotactic protein-1 production [GO:0071639]; positive regulation of monocyte chemotaxis [GO:0090026]; positive regulation of myeloid cell differentiation [GO:0045639]; positive regulation of myeloid progenitor cell differentiation [GO:1905455]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of sprouting angiogenesis [GO:1903672]; positive regulation of toll-like receptor 2 signaling pathway [GO:0034137]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; positive regulation of viral entry into host cell [GO:0046598]; positive regulation of wound healing [GO:0090303]; regulation of nucleotide-excision repair [GO:2000819]; regulation of restriction endodeoxyribonuclease activity [GO:0032072]; regulation of T cell mediated immune response to tumor cell [GO:0002840]; regulation of tolerance induction [GO:0002643]; response to glucocorticoid [GO:0051384]; T-helper 1 cell activation [GO:0035711]; T-helper 1 cell differentiation [GO:0045063]; transcription by RNA polymerase II [GO:0006366]; V(D)J recombination [GO:0033151]
Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	HSPA8 HSC70 HSP73 HSPA10	ATP metabolic process [GO:0046034]; cellular response to starvation [GO:0009267]; cellular response to steroid hormone stimulus [GO:0071383]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; clathrin coat disassembly [GO:0072318]; membrane organization [GO:0061024]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of supramolecular fiber organization [GO:1902904]; positive regulation of cell migration [GO:0030335]; positive regulation of ferroptosis [GO:0160020]; protein folding [GO:0006457]; protein refolding [GO:0042026]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of protein complex stability [GO:0061635]; regulation of protein import [GO:1904589]; regulation of protein stability [GO:0031647]; regulation of protein-containing complex assembly [GO:0043254]; response to unfolded protein [GO:0006986]
Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	IFI16 IFNGIP1	activation of innate immune response [GO:0002218]; autophagy [GO:0006914]; cellular response to glucose starvation [GO:0042149]; cellular response to interferon-beta [GO:0035458]; cellular response to ionizing radiation [GO:0071479]; defense response to virus [GO:0051607]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; monocyte differentiation [GO:0030224]; myeloid cell differentiation [GO:0030099]; negative regulation of AIM2 inflammasome complex assembly [GO:0140972]; negative regulation of DNA binding [GO:0043392]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of innate immune response [GO:0045824]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of viral genome replication [GO:0045071]; positive regulation of cytokine production [GO:0001819]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of autophagy [GO:0010506]; regulation of inflammatory response [GO:0050727]
Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (H-ICSBP) (ICSBP)	IRF8 ICSBP1	autophagy [GO:0006914]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to type II interferon [GO:0071346]; defense response to bacterium [GO:0042742]; defense response to protozoan [GO:0042832]; dendritic cell differentiation [GO:0097028]; follicular B cell differentiation [GO:0002316]; germinal center B cell differentiation [GO:0002314]; immune response [GO:0006955]; immune system process [GO:0002376]; myeloid cell differentiation [GO:0030099]; negative regulation of transcription by RNA polymerase II [GO:0000122]; phagocytosis [GO:0006909]; plasmacytoid dendritic cell differentiation [GO:0002273]; positive regulation of apoptotic process [GO:0043065]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of type II interferon production [GO:0032729]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of type I interferon production [GO:0032479]
Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)	IRGM IFI1 IRGM1 LRG47	autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; CAMKK-AMPK signaling cascade [GO:0061762]; cellular response to interferon-beta [GO:0035458]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to virus [GO:0098586]; defense response to bacterium [GO:0042742]; defense response to Gram-negative bacterium [GO:0050829]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cGAS/STING signaling pathway [GO:0160049]; negative regulation of defense response to virus [GO:0050687]; negative regulation of inflammatory response [GO:0050728]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of type I interferon production [GO:0032480]; negative regulation of type II interferon production [GO:0032689]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of autophagosome maturation [GO:1901098]; positive regulation of autophagy [GO:0010508]; positive regulation of lysosome organization [GO:1905673]; positive regulation of macrophage activation [GO:0043032]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of mitophagy [GO:1901526]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of type II interferon-mediated signaling pathway [GO:0060335]; positive regulation of xenophagy [GO:1904417]; protein destabilization [GO:0031648]; protein lipidation involved in autophagosome assembly [GO:0061739]; protein stabilization [GO:0050821]; protein targeting to vacuole involved in autophagy [GO:0071211]; protein-containing complex assembly [GO:0065003]; regulation of protein complex stability [GO:0061635]; regulation of protein-containing complex assembly [GO:0043254]
Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)	LAMP2	autophagosome maturation [GO:0097352]; cellular response to starvation [GO:0009267]; chaperone-mediated autophagy [GO:0061684]; lysosomal lumen acidification [GO:0007042]; lysosomal protein catabolic process [GO:1905146]; muscle cell cellular homeostasis [GO:0046716]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of protein-containing complex assembly [GO:0031333]; positive regulation of ferroptosis [GO:0160020]; protein catabolic process [GO:0030163]; protein import [GO:0017038]; protein stabilization [GO:0050821]; protein targeting [GO:0006605]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of protein stability [GO:0031647]
Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)	LGALS8	cellular response to virus [GO:0098586]; lymphatic endothelial cell migration [GO:1904977]; plasma cell differentiation [GO:0002317]; T cell costimulation [GO:0031295]; xenophagy [GO:0098792]
Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (EC 3.6.5.-) (Dardarin)	LRRK2 PARK8	autophagy [GO:0006914]; calcium-mediated signaling [GO:0019722]; canonical Wnt signaling pathway [GO:0060070]; cellular response to curcumin [GO:1904644]; cellular response to dopamine [GO:1903351]; cellular response to manganese ion [GO:0071287]; cellular response to oxidative stress [GO:0034599]; cellular response to reactive oxygen species [GO:0034614]; cellular response to starvation [GO:0009267]; determination of adult lifespan [GO:0008340]; endocytosis [GO:0006897]; endoplasmic reticulum organization [GO:0007029]; excitatory postsynaptic potential [GO:0060079]; exploration behavior [GO:0035640]; Golgi organization [GO:0007030]; GTP metabolic process [GO:0046039]; intracellular distribution of mitochondria [GO:0048312]; intracellular protein localization [GO:0008104]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; locomotory exploration behavior [GO:0035641]; lysosome organization [GO:0007040]; MAPK cascade [GO:0000165]; mitochondrion localization [GO:0051646]; mitochondrion organization [GO:0007005]; negative regulation of autophagosome assembly [GO:1902902]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of excitatory postsynaptic potential [GO:0090394]; negative regulation of GTPase activity [GO:0034260]; negative regulation of late endosome to lysosome transport [GO:1902823]; negative regulation of macroautophagy [GO:0016242]; negative regulation of motile cilium assembly [GO:1905504]; negative regulation of neuron projection development [GO:0010977]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of protein processing [GO:0010955]; negative regulation of protein processing involved in protein targeting to mitochondrion [GO:1903217]; negative regulation of protein targeting to mitochondrion [GO:1903215]; neuromuscular junction development [GO:0007528]; neuron projection arborization [GO:0140058]; neuron projection morphogenesis [GO:0048812]; olfactory bulb development [GO:0021772]; positive regulation of autophagy [GO:0010508]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of dopamine receptor signaling pathway [GO:0060161]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of microglial cell activation [GO:1903980]; positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901030]; positive regulation of programmed cell death [GO:0043068]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein autoubiquitination [GO:1902499]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of synaptic vesicle endocytosis [GO:1900244]; positive regulation of tumor necrosis factor production [GO:0032760]; protein autophosphorylation [GO:0046777]; protein import into nucleus [GO:0006606]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to mitochondrion [GO:0070585]; protein phosphorylation [GO:0006468]; regulation of autophagy [GO:0010506]; regulation of branching morphogenesis of a nerve [GO:2000172]; regulation of CAMKK-AMPK signaling cascade [GO:1905289]; regulation of cAMP/PKA signal transduction [GO:0141161]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of cell projection organization [GO:0031344]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of dopamine receptor signaling pathway [GO:0060159]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; regulation of kidney size [GO:0035564]; regulation of locomotion [GO:0040012]; regulation of lysosomal lumen pH [GO:0035751]; regulation of membrane potential [GO:0042391]; regulation of mitochondrial depolarization [GO:0051900]; regulation of mitochondrial fission [GO:0090140]; regulation of neuroblast proliferation [GO:1902692]; regulation of neuron maturation [GO:0014041]; regulation of protein stability [GO:0031647]; regulation of reactive oxygen species metabolic process [GO:2000377]; regulation of retrograde transport, endosome to Golgi [GO:1905279]; regulation of SNARE complex assembly [GO:0035542]; regulation of synaptic transmission, glutamatergic [GO:0051966]; regulation of synaptic vesicle endocytosis [GO:1900242]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of synaptic vesicle transport [GO:1902803]; response to oxidative stress [GO:0006979]; Rho protein signal transduction [GO:0007266]; spermatogenesis [GO:0007283]; striatum development [GO:0021756]; tangential migration from the subventricular zone to the olfactory bulb [GO:0022028]; Wnt signalosome assembly [GO:1904887]
E3 ubiquitin-protein ligase LRSAM1 (EC 2.3.2.27) (Leucine-rich repeat and sterile alpha motif-containing protein 1) (RING-type E3 ubiquitin transferase LRSAM1) (Tsg101-associated ligase) (hTAL)	LRSAM1 TAL UNQ6496/PRO21356	autophagy [GO:0006914]; negative regulation of endocytosis [GO:0045806]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of xenophagy [GO:1904417]; protein autoubiquitination [GO:0051865]; protein catabolic process [GO:0030163]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent endocytosis [GO:0070086]; viral budding [GO:0046755]
Microtubule-associated protein 1 light chain 3 alpha (Autophagy-related protein LC3 A) (Autophagy-related ubiquitin-like modifier LC3 A) (MAP1 light chain 3-like protein 1) (Microtubule-associated proteins 1A/1B light chain 3A) (MAP1A/MAP1B LC3 A) (MAP1A/MAP1B light chain 3 A)	MAP1LC3A	autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; autophagy of mitochondrion [GO:0000422]; cellular response to amino acid starvation [GO:0034198]; cellular response to copper ion [GO:0071280]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to nitrogen starvation [GO:0006995]; cellular response to oxygen-glucose deprivation [GO:0090650]; cellular response to starvation [GO:0009267]; JNK cascade [GO:0007254]; macroautophagy [GO:0016236]; mitophagy [GO:0000423]; p38MAPK cascade [GO:0038066]; response to iron(II) ion [GO:0010040]; response to lead ion [GO:0010288]; SMAD protein signal transduction [GO:0060395]
Microtubule-associated protein 1 light chain 3 beta (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (Microtubule-associated proteins 1A/1B light chain 3B) (MAP1A/MAP1B LC3 B) (MAP1A/MAP1B light chain 3 B)	MAP1LC3B MAP1ALC3	autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cellular response to nitrogen starvation [GO:0006995]; cellular response to starvation [GO:0009267]; macroautophagy [GO:0016236]; mitophagy [GO:0000423]
Microtubule-associated protein 1 light chain 3 beta 2 (Microtubule-associated proteins 1A/1B light chain 3 beta 2) (Microtubule-associated proteins 1A/1B light chain 3B-like) (MAP1A/MAP1B LC3 B-like) (MAP1A/MAP1B light chain 3 B-like)	MAP1LC3B2	autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; cellular response to nitrogen starvation [GO:0006995]; mitophagy [GO:0000423]
Microtubule-associated protein 1 light chain 3 gamma (Autophagy-related protein LC3 C) (Autophagy-related ubiquitin-like modifier LC3 C) (MAP1 light chain 3-like protein 3) (Microtubule-associated proteins 1A/1B light chain 3C) (MAP1A/MAP1B LC3 C) (MAP1A/MAP1B light chain 3 C)	MAP1LC3C	aggrephagy [GO:0035973]; autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; cellular response to nitrogen starvation [GO:0006995]; cellular response to starvation [GO:0009267]; macroautophagy [GO:0016236]; mitophagy [GO:0000423]; protein exit from endoplasmic reticulum [GO:0032527]
Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	MFN2 CPRP1 KIAA0214	aerobic respiration [GO:0009060]; apoptotic process [GO:0006915]; blastocyst formation [GO:0001825]; camera-type eye morphogenesis [GO:0048593]; mitochondrial fusion [GO:0008053]; mitochondrial membrane organization [GO:0007006]; mitochondrion localization [GO:0051646]; negative regulation of Ras protein signal transduction [GO:0046580]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of vascular associated smooth muscle cell apoptotic process [GO:1905461]; positive regulation of vascular associated smooth muscle cell proliferation [GO:1904707]; protein localization to phagophore assembly site [GO:0034497]; protein targeting to mitochondrion [GO:0006626]; response to unfolded protein [GO:0006986]; type 2 mitophagy [GO:0061734]
Modulator of apoptosis 1 (MAP-1) (MAP1) (Paraneoplastic antigen Ma4)	MOAP1 PNMA4	apoptotic signaling pathway [GO:0097190]; autophagy [GO:0006914]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; extrinsic apoptotic signaling pathway via death domain receptors [GO:0008625]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; positive regulation of apoptotic process [GO:0043065]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; protein insertion into mitochondrial membrane [GO:0051204]; regulation of apoptotic process [GO:0042981]
E3 ubiquitin-protein ligase NHLRC1 (EC 2.3.2.27) (Malin) (NHL repeat-containing protein 1) (RING-type E3 ubiquitin transferase NHLRC1)	NHLRC1 EPM2B	autophagy [GO:0006914]; glycogen biosynthetic process [GO:0005978]; positive regulation of protein ubiquitination [GO:0031398]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of gene expression [GO:0010468]; regulation of protein localization to plasma membrane [GO:1903076]; response to endoplasmic reticulum stress [GO:0034976]; ubiquitin-dependent protein catabolic process [GO:0006511]
Nuclear receptor-binding factor 2 (NRBF-2) (Comodulator of PPAR and RXR)	NRBF2 COPR	autophagy [GO:0006914]; response to endoplasmic reticulum stress [GO:0034976]
Optineurin (E3-14.7K-interacting protein) (FIP-2) (Huntingtin yeast partner L) (Huntingtin-interacting protein 7) (HIP-7) (Huntingtin-interacting protein L) (NEMO-related protein) (Optic neuropathy-inducing protein) (Transcription factor IIIA-interacting protein) (TFIIIA-IntP)	OPTN FIP2 GLC1E HIP7 HYPL NRP	cell death [GO:0008219]; cellular response to unfolded protein [GO:0034620]; defense response to Gram-negative bacterium [GO:0050829]; Golgi organization [GO:0007030]; Golgi ribbon formation [GO:0090161]; Golgi to plasma membrane protein transport [GO:0043001]; innate immune response [GO:0045087]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of receptor recycling [GO:0001920]; positive regulation of autophagy [GO:0010508]; positive regulation of xenophagy [GO:1904417]; protein localization to Golgi apparatus [GO:0034067]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; signal transduction [GO:0007165]; type 2 mitophagy [GO:0061734]
