Mechanical & Extracellular Stress		
This table was generated by retriving a list of proteins related to Mechanotransduction and Focal Adhesion found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
LIM domain-binding protein 1 (LDB-1) (Carboxyl-terminal LIM domain-binding protein 2) (CLIM-2) (LIM domain-binding factor CLIM2) (hLdb1) (Nuclear LIM interactor)	LDB1 CLIM2	anterior/posterior axis specification [GO:0009948]; cell adhesion [GO:0007155]; cerebellar Purkinje cell differentiation [GO:0021702]; epithelial structure maintenance [GO:0010669]; gastrulation with mouth forming second [GO:0001702]; hair follicle development [GO:0001942]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of erythrocyte differentiation [GO:0045647]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; neuron differentiation [GO:0030182]; positive regulation of cell adhesion [GO:0045785]; positive regulation of hemoglobin biosynthetic process [GO:0046985]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; regulation of cell migration [GO:0030334]; regulation of focal adhesion assembly [GO:0051893]; regulation of kinase activity [GO:0043549]; somatic stem cell population maintenance [GO:0035019]; transcription by RNA polymerase II [GO:0006366]; transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery [GO:0000972]; Wnt signaling pathway [GO:0016055]
Galectin-3 (Gal-3) (35 kDa lectin) (Carbohydrate-binding protein 35) (CBP 35) (Galactose-specific lectin 3) (Galactoside-binding protein) (GALBP) (IgE-binding protein) (L-31) (Laminin-binding protein) (Lectin L-29) (Mac-2 antigen)	LGALS3 MAC2	eosinophil chemotaxis [GO:0048245]; epithelial cell differentiation [GO:0030855]; innate immune response [GO:0045087]; macrophage chemotaxis [GO:0048246]; monocyte chemotaxis [GO:0002548]; mononuclear cell migration [GO:0071674]; mRNA processing [GO:0006397]; negative regulation of endocytosis [GO:0045806]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of immunological synapse formation [GO:2000521]; negative regulation of NK T cell activation [GO:0051134]; negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001189]; negative regulation of T cell receptor signaling pathway [GO:0050860]; neutrophil chemotaxis [GO:0030593]; positive chemotaxis [GO:0050918]; positive regulation of calcium ion import [GO:0090280]; positive regulation of mononuclear cell migration [GO:0071677]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein-containing complex assembly [GO:0031334]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; regulation of T cell apoptotic process [GO:0070232]; regulation of T cell proliferation [GO:0042129]; RNA splicing [GO:0008380]
Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)	LGALS8	cellular response to virus [GO:0098586]; lymphatic endothelial cell migration [GO:1904977]; plasma cell differentiation [GO:0002317]; T cell costimulation [GO:0031295]; xenophagy [GO:0098792]
Leukemia inhibitory factor (LIF) (Differentiation-stimulating factor) (D factor) (Melanoma-derived LPL inhibitor) (MLPLI) (Emfilermin)	LIF HILDA	blood vessel remodeling [GO:0001974]; cell morphogenesis [GO:0000902]; cell surface receptor signaling pathway via STAT [GO:0097696]; decidualization [GO:0046697]; embryo implantation [GO:0007566]; fibroblast proliferation [GO:0048144]; gene expression [GO:0010467]; immune response [GO:0006955]; leukemia inhibitory factor signaling pathway [GO:0048861]; lung alveolus development [GO:0048286]; lung lobe morphogenesis [GO:0060463]; lung vasculature development [GO:0060426]; macrophage differentiation [GO:0030225]; meiotic nuclear division [GO:0140013]; muscle organ morphogenesis [GO:0048644]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of hormone secretion [GO:0046888]; negative regulation of meiotic nuclear division [GO:0045835]; neuron development [GO:0048666]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of cell adhesion mediated by integrin [GO:0033630]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0072108]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of receptor signaling pathway via STAT [GO:1904894]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell differentiation [GO:0045595]; regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072307]; response to hypoxia [GO:0001666]; somatic stem cell population maintenance [GO:0035019]; stem cell differentiation [GO:0048863]; trophoblast giant cell differentiation [GO:0060707]
LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm)	LIMA1 EPLIN SREBP3 PP624	actin filament bundle assembly [GO:0051017]; cell migration [GO:0016477]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; intestinal cholesterol absorption [GO:0030299]; negative regulation of actin filament depolymerization [GO:0030835]; negative regulation of cell migration [GO:0030336]; negative regulation of cilium assembly [GO:1902018]; positive regulation of actin filament bundle assembly [GO:0032233]; regulation of lamellipodium organization [GO:1902743]; ruffle organization [GO:0031529]
LIM domain-containing protein 2	LIMD2 SB143	actin filament bundle assembly [GO:0051017]
LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK	actin cytoskeleton organization [GO:0030036]; axon extension [GO:0048675]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; nervous system development [GO:0007399]; positive regulation of actin filament bundle assembly [GO:0032233]; positive regulation of axon extension [GO:0045773]; positive regulation of stress fiber assembly [GO:0051496]; protein phosphorylation [GO:0006468]; Rho protein signal transduction [GO:0007266]; signal transduction [GO:0007165]; stress fiber assembly [GO:0043149]
LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1) (PINCH-1) (Renal carcinoma antigen NY-REN-48)	LIMS1 PINCH PINCH1	cell-cell adhesion [GO:0098609]; cell-cell junction organization [GO:0045216]; cell-matrix adhesion [GO:0007160]; cellular response to transforming growth factor beta stimulus [GO:0071560]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
LIM and senescent cell antigen-like-containing domain protein 2 (LIM-like protein 2) (Particularly interesting new Cys-His protein 2) (PINCH-2)	LIMS2 PINCH2	cell-cell adhesion [GO:0098609]; cell-cell junction organization [GO:0045216]; cholangiocyte proliferation [GO:1990705]; integrin-mediated signaling pathway [GO:0007229]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cholangiocyte proliferation [GO:1904055]; negative regulation of hepatocyte proliferation [GO:2000346]; negative regulation of neural precursor cell proliferation [GO:2000178]; neural precursor cell proliferation [GO:0061351]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]
Leishmanolysin-like peptidase (EC 3.4.24.-) (Invadolysin)	LMLN	cell adhesion [GO:0007155]; cell division [GO:0051301]; proteolysis [GO:0006508]
LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP)	LMO7 FBX20 FBXO20 KIAA0858	positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ubiquitination [GO:0016567]; regulation of cell adhesion [GO:0030155]; regulation of signaling [GO:0023051]
Leupaxin	LPXN LDLP	cell adhesion [GO:0007155]; endothelial cell migration [GO:0043542]; negative regulation of B cell receptor signaling pathway [GO:0050859]; negative regulation of cell adhesion [GO:0007162]; protein-containing complex assembly [GO:0065003]; regulation of cell adhesion mediated by integrin [GO:0033628]; signal transduction [GO:0007165]; substrate adhesion-dependent cell spreading [GO:0034446]; transforming growth factor beta receptor signaling pathway [GO:0007179]
Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]	LRP1 A2MR APR	amyloid-beta clearance [GO:0097242]; amyloid-beta clearance by cellular catabolic process [GO:0150094]; amyloid-beta clearance by transcytosis [GO:0150093]; aorta morphogenesis [GO:0035909]; apoptotic cell clearance [GO:0043277]; astrocyte activation involved in immune response [GO:0002265]; cellular response to amyloid-beta [GO:1904646]; enzyme-linked receptor protein signaling pathway [GO:0007167]; lipid metabolic process [GO:0006629]; lipoprotein transport [GO:0042953]; lysosomal transport [GO:0007041]; negative regulation of gene expression [GO:0010629]; negative regulation of platelet-derived growth factor receptor-beta signaling pathway [GO:2000587]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of smooth muscle cell migration [GO:0014912]; negative regulation of Wnt signaling pathway [GO:0030178]; phagocytosis [GO:0006909]; positive regulation of amyloid-beta clearance [GO:1900223]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of endocytosis [GO:0045807]; positive regulation of lipid transport [GO:0032370]; positive regulation of lysosomal protein catabolic process [GO:1905167]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of reverse cholesterol transport [GO:1903064]; positive regulation of transcytosis [GO:1904300]; receptor internalization [GO:0031623]; receptor-mediated endocytosis [GO:0006898]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of extracellular matrix disassembly [GO:0010715]; regulation of extracellular matrix organization [GO:1903053]; retinoid metabolic process [GO:0001523]; transcytosis [GO:0045056]; transport across blood-brain barrier [GO:0150104]
Low-density lipoprotein receptor-related protein 12 (LDLR-related protein 12) (LRP-12) (Suppressor of tumorigenicity 7 protein)	LRP12 ST7	cell adhesion [GO:0007155]; endocytosis [GO:0006897]; integrin activation [GO:0033622]; lymphocyte migration into lymphoid organs [GO:0097021]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; regulation of growth [GO:0040008]; signal transduction [GO:0007165]
Tyrosine-protein kinase Lyn (EC 2.7.10.2) (Lck/Yes-related novel protein tyrosine kinase) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn)	LYN JTK8	adaptive immune response [GO:0002250]; autophagy [GO:0006914]; B cell homeostasis [GO:0001782]; B cell proliferation [GO:0042100]; B cell receptor signaling pathway [GO:0050853]; C-X-C chemokine receptor CXCR4 signaling pathway [GO:0038159]; cell morphogenesis [GO:0000902]; cell surface receptor protein tyrosine kinase signaling pathway [GO:0007169]; cellular response to heat [GO:0034605]; cellular response to retinoic acid [GO:0071300]; dendritic cell differentiation [GO:0097028]; DNA damage checkpoint signaling [GO:0000077]; DNA damage response [GO:0006974]; eosinophil differentiation [GO:0030222]; ephrin receptor signaling pathway [GO:0048013]; erythrocyte differentiation [GO:0030218]; fatty acid transport [GO:0015908]; Fc receptor mediated inhibitory signaling pathway [GO:0002774]; Fc receptor mediated stimulatory signaling pathway [GO:0002431]; Fc-epsilon receptor signaling pathway [GO:0038095]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; hematopoietic progenitor cell differentiation [GO:0002244]; histamine secretion by mast cell [GO:0002553]; immune response-regulating cell surface receptor signaling pathway [GO:0002768]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; interleukin-5-mediated signaling pathway [GO:0038043]; leukocyte migration [GO:0050900]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of immune response [GO:0050777]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of intracellular signal transduction [GO:1902532]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of mast cell proliferation [GO:0070667]; negative regulation of myeloid leukocyte differentiation [GO:0002762]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of toll-like receptor 2 signaling pathway [GO:0034136]; negative regulation of toll-like receptor 4 signaling pathway [GO:0034144]; neuroinflammatory response [GO:0150076]; neuron projection development [GO:0031175]; oligodendrocyte development [GO:0014003]; peptidyl-tyrosine phosphorylation [GO:0018108]; platelet degranulation [GO:0002576]; positive regulation of amyloid precursor protein catabolic process [GO:1902993]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of dendritic cell apoptotic process [GO:2000670]; positive regulation of Fc receptor mediated stimulatory signaling pathway [GO:0060369]; positive regulation of glial cell proliferation [GO:0060252]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mast cell proliferation [GO:0070668]; positive regulation of neuron projection development [GO:0010976]; positive regulation of oligodendrocyte progenitor proliferation [GO:0070447]; positive regulation of phosphorylation [GO:0042327]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of B cell apoptotic process [GO:0002902]; regulation of B cell receptor signaling pathway [GO:0050855]; regulation of cell adhesion mediated by integrin [GO:0033628]; regulation of cytokine production [GO:0001817]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of erythrocyte differentiation [GO:0045646]; regulation of mast cell activation [GO:0033003]; regulation of mast cell degranulation [GO:0043304]; regulation of monocyte chemotaxis [GO:0090025]; regulation of platelet aggregation [GO:0090330]; regulation of protein phosphorylation [GO:0001932]; regulation of release of sequestered calcium ion into cytosol [GO:0051279]; response to amino acid [GO:0043200]; response to axon injury [GO:0048678]; response to carbohydrate [GO:0009743]; response to hormone [GO:0009725]; response to insulin [GO:0032868]; response to sterol depletion [GO:0006991]; response to toxic substance [GO:0009636]; response to xenobiotic stimulus [GO:0009410]; signal transduction [GO:0007165]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; T cell costimulation [GO:0031295]; tolerance induction to self antigen [GO:0002513]; toll-like receptor 4 signaling pathway [GO:0034142]
Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4/5 (620 kDa actin-binding protein) (ABP620) (Actin cross-linking family protein 7) (Macrophin-1) (Trabeculin-alpha)	MACF1 ABP620 ACF7 KIAA0465 KIAA0754 KIAA1251	Golgi to plasma membrane protein transport [GO:0043001]; intermediate filament cytoskeleton organization [GO:0045104]; positive regulation of axon extension [GO:0045773]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of cell migration [GO:0030334]; regulation of epithelial cell migration [GO:0010632]; regulation of focal adhesion assembly [GO:0051893]; regulation of microtubule-based process [GO:0032886]; regulation of neuron projection arborization [GO:0150011]; Wnt signaling pathway [GO:0016055]; wound healing [GO:0042060]
Mucosa-associated lymphoid tissue lymphoma translocation protein 1 (EC 3.4.22.-) (MALT lymphoma-associated translocation) (Paracaspase)	MALT1 MLT	B cell activation [GO:0042113]; B-1 B cell differentiation [GO:0001923]; defense response [GO:0006952]; innate immune response [GO:0045087]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; negative regulation of apoptotic process [GO:0043066]; nuclear export [GO:0051168]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of T cell cytokine production [GO:0002726]; positive regulation of T-helper 17 cell differentiation [GO:2000321]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; regulation of apoptotic process [GO:0042981]; regulation of T cell receptor signaling pathway [GO:0050856]; response to fungus [GO:0009620]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]
Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	MAP2K1 MEK1 PRKMK1	Bergmann glial cell differentiation [GO:0060020]; cell motility [GO:0048870]; cellular senescence [GO:0090398]; central nervous system neuron differentiation [GO:0021953]; cerebellar cortex formation [GO:0021697]; chemotaxis [GO:0006935]; endodermal cell differentiation [GO:0035987]; epithelial cell proliferation involved in lung morphogenesis [GO:0060502]; ERBB2-ERBB3 signaling pathway [GO:0038133]; ERK1 and ERK2 cascade [GO:0070371]; face development [GO:0060324]; Golgi inheritance [GO:0048313]; heart development [GO:0007507]; insulin-like growth factor receptor signaling pathway [GO:0048009]; keratinocyte differentiation [GO:0030216]; labyrinthine layer development [GO:0060711]; MAPK cascade [GO:0000165]; melanosome transport [GO:0032402]; myelination [GO:0042552]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of gene expression [GO:0010629]; negative regulation of homotypic cell-cell adhesion [GO:0034111]; negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway [GO:1903298]; neuron differentiation [GO:0030182]; neuron projection morphogenesis [GO:0048812]; placenta blood vessel development [GO:0060674]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of autophagy [GO:0010508]; positive regulation of axonogenesis [GO:0050772]; positive regulation of cell migration [GO:0030335]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endodermal cell differentiation [GO:1903226]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of muscle contraction [GO:0045933]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; regulation of axon regeneration [GO:0048679]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of Golgi inheritance [GO:0090170]; regulation of neurotransmitter receptor localization to postsynaptic specialization membrane [GO:0098696]; regulation of stress-activated MAPK cascade [GO:0032872]; regulation of vascular associated smooth muscle contraction [GO:0003056]; response to axon injury [GO:0048678]; response to glucocorticoid [GO:0051384]; response to oxidative stress [GO:0006979]; Schwann cell development [GO:0014044]; signal transduction [GO:0007165]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; trachea formation [GO:0060440]; triglyceride homeostasis [GO:0070328]; type B pancreatic cell proliferation [GO:0044342]; vesicle transport along microtubule [GO:0047496]
Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)	MAP2K2 MEK2 MKK2 PRKMK2	epithelial cell proliferation involved in lung morphogenesis [GO:0060502]; ERBB2-ERBB3 signaling pathway [GO:0038133]; ERK1 and ERK2 cascade [GO:0070371]; face development [GO:0060324]; heart development [GO:0007507]; insulin-like growth factor receptor signaling pathway [GO:0048009]; MAPK cascade [GO:0000165]; myelination [GO:0042552]; peptidyl-serine autophosphorylation [GO:0036289]; positive regulation of axonogenesis [GO:0050772]; positive regulation of cell motility [GO:2000147]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; regulation of axon regeneration [GO:0048679]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of Golgi inheritance [GO:0090170]; regulation of stress-activated MAPK cascade [GO:0032872]; Schwann cell development [GO:0014044]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; trachea formation [GO:0060440]
Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	MAP4K4 HGK KIAA0687 NIK	intracellular signal transduction [GO:0035556]; MAPK cascade [GO:0000165]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell-matrix adhesion [GO:0001953]; neuron projection morphogenesis [GO:0048812]; positive regulation of ARF protein signal transduction [GO:0032014]; positive regulation of cell migration [GO:0030335]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of focal adhesion disassembly [GO:0120183]; positive regulation of hippo signaling [GO:0035332]; positive regulation of keratinocyte migration [GO:0051549]; protein phosphorylation [GO:0006468]; regulation of JNK cascade [GO:0046328]; regulation of MAPK cascade [GO:0043408]
Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2	apoptotic process [GO:0006915]; B cell receptor signaling pathway [GO:0050853]; Bergmann glial cell differentiation [GO:0060020]; cardiac neural crest cell development involved in heart development [GO:0061308]; caveolin-mediated endocytosis [GO:0072584]; cell surface receptor signaling pathway [GO:0007166]; cellular response to amino acid starvation [GO:0034198]; cellular response to tumor necrosis factor [GO:0071356]; chemical synaptic transmission [GO:0007268]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytosine metabolic process [GO:0019858]; DNA damage response [GO:0006974]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERBB signaling pathway [GO:0038127]; ERBB2-ERBB3 signaling pathway [GO:0038133]; ERK1 and ERK2 cascade [GO:0070371]; face development [GO:0060324]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; interleukin-34-mediated signaling pathway [GO:0061514]; intracellular signal transduction [GO:0035556]; labyrinthine layer blood vessel development [GO:0060716]; learning or memory [GO:0007611]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; long-term synaptic potentiation [GO:0060291]; lung morphogenesis [GO:0060425]; mammary gland epithelial cell proliferation [GO:0033598]; MAPK cascade [GO:0000165]; myelination [GO:0042552]; negative regulation of cell differentiation [GO:0045596]; outer ear morphogenesis [GO:0042473]; positive regulation of cholesterol biosynthetic process [GO:0045542]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of macrophage proliferation [GO:0120041]; positive regulation of neuroinflammatory response [GO:0150078]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of telomere maintenance [GO:0032206]; protein phosphorylation [GO:0006468]; regulation of cellular pH [GO:0030641]; regulation of cytoskeleton organization [GO:0051493]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of Golgi inheritance [GO:0090170]; regulation of ossification [GO:0030278]; regulation of stress-activated MAPK cascade [GO:0032872]; response to epidermal growth factor [GO:0070849]; response to exogenous dsRNA [GO:0043330]; response to nicotine [GO:0035094]; Schwann cell development [GO:0014044]; signal transduction [GO:0007165]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; trachea formation [GO:0060440]
Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (Microtubule-associated protein 2 kinase) (p44-ERK1)	MAPK3 ERK1 PRKM3	apoptotic process [GO:0006915]; Bergmann glial cell differentiation [GO:0060020]; BMP signaling pathway [GO:0030509]; cardiac neural crest cell development involved in heart development [GO:0061308]; cartilage development [GO:0051216]; caveolin-mediated endocytosis [GO:0072584]; cell surface receptor signaling pathway [GO:0007166]; cellular response to amino acid starvation [GO:0034198]; cellular response to mechanical stimulus [GO:0071260]; cellular response to tumor necrosis factor [GO:0071356]; DNA-templated transcription [GO:0006351]; epidermal growth factor receptor signaling pathway [GO:0007173]; ERBB2-ERBB3 signaling pathway [GO:0038133]; ERK1 and ERK2 cascade [GO:0070371]; face development [GO:0060324]; insulin receptor signaling pathway [GO:0008286]; insulin-like growth factor receptor signaling pathway [GO:0048009]; interleukin-1-mediated signaling pathway [GO:0070498]; interleukin-34-mediated signaling pathway [GO:0061514]; intracellular signal transduction [GO:0035556]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; lung morphogenesis [GO:0060425]; MAPK cascade [GO:0000165]; modulation of chemical synaptic transmission [GO:0050804]; myelination [GO:0042552]; negative regulation of cholesterol efflux [GO:0090370]; negative regulation of T cell mediated immune response to tumor cell [GO:0002841]; negative regulation of TORC1 signaling [GO:1904262]; outer ear morphogenesis [GO:0042473]; peptidyl-tyrosine autophosphorylation [GO:0038083]; phosphorylation [GO:0016310]; positive regulation of cyclase activity [GO:0031281]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of macrophage proliferation [GO:0120041]; positive regulation of neuroinflammatory response [GO:0150078]; positive regulation of telomere maintenance [GO:0032206]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of xenophagy [GO:1904417]; protein phosphorylation [GO:0006468]; regulation of cellular pH [GO:0030641]; regulation of cytoskeleton organization [GO:0051493]; regulation of early endosome to late endosome transport [GO:2000641]; regulation of Golgi inheritance [GO:0090170]; regulation of ossification [GO:0030278]; regulation of stress-activated MAPK cascade [GO:0032872]; response to epidermal growth factor [GO:0070849]; response to exogenous dsRNA [GO:0043330]; Schwann cell development [GO:0014044]; sensory perception of pain [GO:0019233]; signal transduction in response to DNA damage [GO:0042770]; stress-activated MAPK cascade [GO:0051403]; thymus development [GO:0048538]; thyroid gland development [GO:0030878]; trachea formation [GO:0060440]; xenophagy [GO:0098792]
Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)	MAPRE1	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; cell migration [GO:0016477]; establishment of mitotic spindle orientation [GO:0000132]; intracellular protein localization [GO:0008104]; microtubule bundle formation [GO:0001578]; microtubule polymerization [GO:0046785]; negative regulation of microtubule polymerization [GO:0031115]; non-motile cilium assembly [GO:1905515]; positive regulation of microtubule polymerization [GO:0031116]; protein localization to astral microtubule [GO:1902888]; protein localization to centrosome [GO:0071539]; protein localization to microtubule [GO:0035372]; protein localization to mitotic spindle [GO:1902480]; regulation of microtubule polymerization or depolymerization [GO:0031110]; spindle assembly [GO:0051225]
Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)	MARCKS MACS PRKCSL	actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; actin filament organization [GO:0007015]; apoptotic process [GO:0006915]; central nervous system development [GO:0007417]; mitochondrion organization [GO:0007005]; neural tube development [GO:0021915]; neurogenesis [GO:0022008]; response to endoplasmic reticulum stress [GO:0034976]
Muscleblind-like protein 2 (Muscleblind-like protein 1) (Muscleblind-like protein-like) (Muscleblind-like protein-like 39)	MBNL2 MBLL MBLL39 MLP1	mRNA processing [GO:0006397]; regulation of RNA splicing [GO:0043484]; RNA splicing [GO:0008380]
Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146)	MCAM MUC18	anatomical structure morphogenesis [GO:0009653]; angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; glomerular filtration [GO:0003094]; positive regulation of cell migration [GO:0030335]; vascular wound healing [GO:0061042]
