Protein names	Gene Names	Gene Ontology (biological process)	Supporting_PMID	Paper_Count
CD83 antigen (hCD83) (B-cell activation protein) (Cell surface protein HB15) (CD antigen CD83)	CD83	CD4-positive, alpha-beta T cell differentiation [GO:0043367]; defense response [GO:0006952]; humoral immune response [GO:0006959]; negative regulation of interleukin-4 production [GO:0032713]; positive regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043372]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-2 production [GO:0032743]; signal transduction [GO:0007165]	40397676	15
Probable E3 ubiquitin-protein ligase IRF2BPL (EC 2.3.2.27) (Enhanced at puberty protein 1) (Interferon regulatory factor 2-binding protein-like)	IRF2BPL C14orf4 EAP1 KIAA1865 My039	development of secondary female sexual characteristics [GO:0046543]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein ubiquitination [GO:0016567]	41413713	6
Cell division cycle protein 20 homolog (p55CDC)	CDC20	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell differentiation [GO:0030154]; cell division [GO:0051301]; metaphase/anaphase transition of cell cycle [GO:0044784]; metaphase/anaphase transition of meiosis I [GO:1990949]; mitotic sister chromatid cohesion [GO:0007064]; mitotic spindle assembly [GO:0090307]; mitotic spindle assembly checkpoint signaling [GO:0007094]; nervous system development [GO:0007399]; positive regulation of anaphase-promoting complex-dependent catabolic process [GO:1905786]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; positive regulation of synapse maturation [GO:0090129]; positive regulation of synaptic plasticity [GO:0031915]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; protein ubiquitination [GO:0016567]; regulation of dendrite development [GO:0050773]; regulation of meiotic cell cycle [GO:0051445]; regulation of meiotic nuclear division [GO:0040020]; regulation of mitotic cell cycle [GO:0007346]	41029491	245
Iron-responsive element-binding protein 2 (IRE-BP 2) (Iron regulatory protein 2) (IRP2)	IREB2	erythrocyte homeostasis [GO:0034101]; intestinal absorption [GO:0050892]; intracellular iron ion homeostasis [GO:0006879]; mRNA stabilization [GO:0048255]; multicellular organismal-level iron ion homeostasis [GO:0060586]; osteoclast differentiation [GO:0030316]; post-embryonic development [GO:0009791]; protoporphyrinogen IX biosynthetic process [GO:0006782]	41643264	10
Anaphase-promoting complex subunit CDC26 (Anaphase-promoting complex subunit 12) (APC12) (Cell division cycle protein 26 homolog)	CDC26 ANAPC12 C9orf17	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; protein branched polyubiquitination [GO:0141198]; protein K11-linked ubiquitination [GO:0070979]; protein K48-linked ubiquitination [GO:0070936]; regulation of meiotic cell cycle [GO:0051445]; regulation of mitotic cell cycle [GO:0007346]	41249642	2
Cell division control protein 6 homolog (CDC6-related protein) (Cdc18-related protein) (HsCdc18) (p62(cdc6)) (HsCDC6)	CDC6 CDC18L	cell division [GO:0051301]; cellular response to angiotensin [GO:1904385]; cellular response to vasopressin [GO:1904117]; DNA replication checkpoint signaling [GO:0000076]; DNA replication initiation [GO:0006270]; mitotic DNA replication checkpoint signaling [GO:0033314]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA replication [GO:0008156]; positive regulation of chromosome segregation [GO:0051984]; positive regulation of cytokinesis [GO:0032467]; positive regulation of fibroblast proliferation [GO:0048146]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; traversing start control point of mitotic cell cycle [GO:0007089]	39582087	36
Cyclin-dependent kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Cyclin-dependent-like kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit)	CDK5 CDKN5 PSSALRE	actin cytoskeleton organization [GO:0030036]; axon extension [GO:0048675]; axonogenesis [GO:0007409]; behavioral response to cocaine [GO:0048148]; calcium ion import [GO:0070509]; cell division [GO:0051301]; cell-matrix adhesion [GO:0007160]; cellular response to amyloid-beta [GO:1904646]; central nervous system neuron development [GO:0021954]; cerebellar cortex formation [GO:0021697]; chemical synaptic transmission [GO:0007268]; corpus callosum development [GO:0022038]; dendrite morphogenesis [GO:0048813]; excitatory postsynaptic potential [GO:0060079]; hippocampus development [GO:0021766]; intracellular protein transport [GO:0006886]; layer formation in cerebral cortex [GO:0021819]; microtubule cytoskeleton organization [GO:0000226]; motor neuron axon guidance [GO:0008045]; negative regulation of axon extension [GO:0030517]; negative regulation of calcium ion-dependent exocytosis of neurotransmitter [GO:1903234]; negative regulation of cell cycle [GO:0045786]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of protein export from nucleus [GO:0046826]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of proteolysis [GO:0045861]; negative regulation of synaptic plasticity [GO:0031914]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; oligodendrocyte differentiation [GO:0048709]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of presynaptic cytosolic calcium concentration [GO:0099533]; positive regulation of protein targeting to membrane [GO:0090314]; protein localization to synapse [GO:0035418]; receptor catabolic process [GO:0032801]; receptor clustering [GO:0043113]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of cell cycle phase transition [GO:1901987]; regulation of cell migration [GO:0030334]; regulation of dendritic spine morphogenesis [GO:0061001]; regulation of macroautophagy [GO:0016241]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of synaptic plasticity [GO:0048167]; regulation of synaptic transmission, glutamatergic [GO:0051966]; regulation of synaptic vesicle recycling [GO:1903421]; rhythmic process [GO:0048511]; Schwann cell development [GO:0014044]; sensory perception of pain [GO:0019233]; skeletal muscle tissue development [GO:0007519]; synapse assembly [GO:0007416]; synaptic transmission, dopaminergic [GO:0001963]; synaptic transmission, glutamatergic [GO:0035249]; synaptic vesicle endocytosis [GO:0048488]; synaptic vesicle exocytosis [GO:0016079]; synaptic vesicle transport [GO:0048489]; visual learning [GO:0008542]	40869369	71
NF-kappa-B essential modulator (NEMO) (FIP-3) (IkB kinase-associated protein 1) (IKKAP1) (Inhibitor of nuclear factor kappa-B kinase subunit gamma) (I-kappa-B kinase subunit gamma) (IKK-gamma) (IKKG) (IkB kinase subunit gamma) (NF-kappa-B essential modifier)	IKBKG FIP3 NEMO	anoikis [GO:0043276]; apoptotic process [GO:0006915]; B cell homeostasis [GO:0001782]; canonical NF-kappaB signal transduction [GO:0007249]; defense response to bacterium [GO:0042742]; DNA damage response [GO:0006974]; establishment of vesicle localization [GO:0051650]; immune response [GO:0006955]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of gene expression [GO:0010628]; positive regulation of macroautophagy [GO:0016239]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of T cell receptor signaling pathway [GO:0050862]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of ubiquitin-dependent protein catabolic process [GO:2000060]; protein-containing complex assembly [GO:0065003]; response to virus [GO:0009615]; T cell receptor signaling pathway [GO:0050852]	37211186	11
Inhibitor of nuclear factor kappa-B kinase subunit epsilon (I-kappa-B kinase epsilon) (IKK-E) (IKK-epsilon) (IkBKE) (EC 2.7.11.10) (Inducible I kappa-B kinase) (IKK-i)	IKBKE IKKE IKKI KIAA0151	activation of innate immune response [GO:0002218]; cellular response to virus [GO:0098586]; defense response to virus [GO:0051607]; gene expression [GO:0010467]; immune response [GO:0006955]; interleukin-17-mediated signaling pathway [GO:0097400]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; mRNA stabilization [GO:0048255]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of lipid storage [GO:0010884]; positive regulation of type I interferon production [GO:0032481]; positive regulation of type I interferon-mediated signaling pathway [GO:0060340]; regulation of protein-containing complex assembly [GO:0043254]; response to interferon-beta [GO:0035456]; type I interferon-mediated signaling pathway [GO:0060337]	41319264	8
E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)	HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272	base-excision repair [GO:0006284]; cell differentiation [GO:0030154]; circadian regulation of gene expression [GO:0032922]; Golgi organization [GO:0007030]; membrane fusion [GO:0061025]; negative regulation of mitochondrial fusion [GO:0010637]; negative regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035359]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of type 2 mitophagy [GO:1905091]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein branched polyubiquitination [GO:0141198]; protein K48-linked ubiquitination [GO:0070936]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]	41942468	229
Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	HGS HRS	endocytic recycling [GO:0032456]; endosomal transport [GO:0016197]; macroautophagy [GO:0016236]; membrane fission [GO:0090148]; membrane invagination [GO:0010324]; multivesicular body assembly [GO:0036258]; negative regulation of angiogenesis [GO:0016525]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of platelet-derived growth factor receptor signaling pathway [GO:0010642]; negative regulation of receptor signaling pathway via JAK-STAT [GO:0046426]; negative regulation of vascular endothelial growth factor receptor signaling pathway [GO:0030948]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of gene expression [GO:0010628]; protein localization to membrane [GO:0072657]; protein targeting to lysosome [GO:0006622]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; receptor internalization [GO:0031623]; regulation of MAP kinase activity [GO:0043405]; regulation of protein catabolic process [GO:0042176]; signal transduction [GO:0007165]	26431433	7
DNA replication factor Cdt1 (Double parked homolog) (DUP)	CDT1	attachment of mitotic spindle microtubules to kinetochore [GO:0051315]; cell division [GO:0051301]; DNA replication checkpoint signaling [GO:0000076]; DNA replication preinitiation complex assembly [GO:0071163]; mitotic cell cycle [GO:0000278]; mitotic DNA replication initiation [GO:1902975]; mitotic pre-replicative complex assembly [GO:1902985]; negative regulation of cell cycle [GO:0045786]; negative regulation of DNA-templated DNA replication [GO:2000104]; positive regulation of DNA replication [GO:0045740]; regulation of DNA-templated DNA replication initiation [GO:0030174]; regulation of nuclear cell cycle DNA replication [GO:0033262]; response to sorbitol [GO:0072708]	41484895	87
Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	HTT HD IT15	apoptotic process [GO:0006915]; central nervous system development [GO:0007417]; establishment of mitotic spindle orientation [GO:0000132]; Golgi organization [GO:0007030]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; neurogenesis [GO:0022008]; positive regulation of aggrephagy [GO:1905337]; positive regulation of apoptotic process [GO:0043065]; positive regulation of CAMKK-AMPK signaling cascade [GO:1905291]; positive regulation of cilium assembly [GO:0045724]; positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity [GO:0031587]; positive regulation of lipophagy [GO:1904504]; positive regulation of mitophagy [GO:1901526]; protein destabilization [GO:0031648]; regulation of CAMKK-AMPK signaling cascade [GO:1905289]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; synaptic vesicle transport [GO:0048489]; vesicle transport along microtubule [GO:0047496]; vocal learning [GO:0042297]	41578740	149
Hsp70-binding protein 1 (HspBP1) (Heat shock protein-binding protein 1) (Hsp70-binding protein 2) (HspBP2) (Hsp70-interacting protein 1) (Hsp70-interacting protein 2)	HSPBP1 HSPBP PP1845	positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; protein folding [GO:0006457]	28847953	2
Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	cellular response to glucose starvation [GO:0042149]; cellular response to interleukin-4 [GO:0071353]; cerebellar Purkinje cell layer development [GO:0021680]; cerebellum structural organization [GO:0021589]; endoplasmic reticulum unfolded protein response [GO:0030968]; ER overload response [GO:0006983]; ERAD pathway [GO:0036503]; IRE1-mediated unfolded protein response [GO:0036498]; maintenance of protein localization in endoplasmic reticulum [GO:0035437]; negative regulation of apoptotic process [GO:0043066]; negative regulation of IRE1-mediated unfolded protein response [GO:1903895]; negative regulation of PERK-mediated unfolded protein response [GO:1903898]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; positive regulation of cell migration [GO:0030335]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-translational protein targeting to membrane, translocation [GO:0031204]; protein folding in endoplasmic reticulum [GO:0034975]; protein refolding [GO:0042026]; regulation of ATF6-mediated unfolded protein response [GO:1903891]; regulation of IRE1-mediated unfolded protein response [GO:1903894]; regulation of PERK-mediated unfolded protein response [GO:1903897]; regulation of protein folding in endoplasmic reticulum [GO:0060904]; response to endoplasmic reticulum stress [GO:0034976]; substantia nigra development [GO:0021762]	40300357	32
Endoplasmin (EC 3.6.4.-) (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Heat shock protein family C member 4) (Tumor rejection antigen 1) (gp96 homolog)	HSP90B1 GRP94 HSPC4 TRA1	actin rod assembly [GO:0031247]; cellular response to ATP [GO:0071318]; cellular response to manganese ion [GO:0071287]; ERAD pathway [GO:0036503]; negative regulation of apoptotic process [GO:0043066]; positive regulation of toll-like receptor signaling pathway [GO:0034123]; positive regulation of Wnt signaling pathway [GO:0030177]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein localization to plasma membrane [GO:0072659]; protein transport [GO:0015031]; response to endoplasmic reticulum stress [GO:0034976]; response to hypoxia [GO:0001666]; retrograde protein transport, ER to cytosol [GO:0030970]; sequestering of calcium ion [GO:0051208]	41716636	5
Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84) (Heat shock protein family C member 3)	HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB	cellular response to heat [GO:0034605]; cellular response to interleukin-4 [GO:0071353]; chaperone-mediated protein complex assembly [GO:0051131]; negative regulation of apoptotic process [GO:0043066]; negative regulation of proteasomal protein catabolic process [GO:1901799]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; placenta development [GO:0001890]; positive regulation of cell differentiation [GO:0045597]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; protein folding [GO:0006457]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; regulation of protein localization [GO:0032880]; regulation of protein ubiquitination [GO:0031396]; response to unfolded protein [GO:0006986]; supramolecular fiber organization [GO:0097435]; telomerase holoenzyme complex assembly [GO:1905323]; telomere maintenance via telomerase [GO:0007004]; virion attachment to host cell [GO:0019062]	41697125	13
Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	HSF1 HSTF1	cellular response to angiotensin [GO:1904385]; cellular response to cadmium ion [GO:0071276]; cellular response to copper ion [GO:0071280]; cellular response to diamide [GO:0072738]; cellular response to estradiol stimulus [GO:0071392]; cellular response to gamma radiation [GO:0071480]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to L-glutamine [GO:1904845]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to nitroglycerin [GO:1904843]; cellular response to potassium ion [GO:0035865]; cellular response to sodium arsenite [GO:1903936]; cellular response to unfolded protein [GO:0034620]; cellular response to xenobiotic stimulus [GO:0071466]; defense response [GO:0006952]; DNA repair [GO:0006281]; embryonic placenta development [GO:0001892]; embryonic process involved in female pregnancy [GO:0060136]; epithelial cell proliferation [GO:0050673]; female meiotic nuclear division [GO:0007143]; MAPK cascade [GO:0000165]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of inclusion body assembly [GO:0090084]; negative regulation of protein-containing complex assembly [GO:0031333]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of apoptotic DNA fragmentation [GO:1902512]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of gene expression [GO:0010628]; positive regulation of inclusion body assembly [GO:0090261]; positive regulation of macrophage differentiation [GO:0045651]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of stress granule assembly [GO:0062029]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-containing complex assembly [GO:0065003]; regulation of cellular response to heat [GO:1900034]; regulation of transcription by RNA polymerase II [GO:0006357]; response to activity [GO:0014823]; response to hypobaric hypoxia [GO:1990910]; response to nutrient [GO:0007584]; response to peptide [GO:1901652]; response to psychosocial stress [GO:1990911]; response to testosterone [GO:0033574]; spermatogenesis [GO:0007283]	41580114	115
Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain]	HP	acute-phase response [GO:0006953]; defense response [GO:0006952]; defense response to bacterium [GO:0042742]; immune system process [GO:0002376]; inflammatory response [GO:0006954]; negative regulation of hydrogen peroxide catabolic process [GO:2000296]; response to hydrogen peroxide [GO:0042542]; zymogen activation [GO:0031638]	39738689	28
Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	HNRNPL HNRPL P/OKcl.14	mRNA processing [GO:0006397]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of RNA splicing [GO:0043484]; RNA processing [GO:0006396]	34333526	5
COMM domain-containing protein 1 (Protein Murr1)	COMMD1 C2orf5 MURR1	cholesterol homeostasis [GO:0042632]; copper ion homeostasis [GO:0055070]; Golgi to plasma membrane transport [GO:0006893]; low-density lipoprotein particle clearance [GO:0034383]; negative regulation of hypoxia-inducible factor-1alpha signaling pathway [GO:1902072]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of protein localization to cell surface [GO:2000009]; negative regulation of sodium ion transmembrane transport [GO:1902306]; nucleotide-excision repair [GO:0006289]; plasma membrane to endosome transport [GO:0048227]; positive regulation of cholesterol import [GO:1904109]; positive regulation of endosome to plasma membrane protein transport [GO:1905751]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein ubiquitination [GO:0031398]; protein destabilization [GO:0031648]; protein localization to cell surface [GO:0034394]; protein transport [GO:0015031]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]	33482423	14
COMM domain-containing protein 10	COMMD10 HSPC305 PTD002		30787448	4
Adenosine 5'-monophosphoramidase HINT1 (EC 3.9.1.-) (Desumoylating isopeptidase HINT1) (EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1)	HINT1 HINT PKCI1 PRKCNH1	intrinsic apoptotic signaling pathway by p53 class mediator [GO:0072332]; positive regulation of calcium-mediated signaling [GO:0050850]; protein desumoylation [GO:0016926]; proteolysis [GO:0006508]; purine ribonucleotide catabolic process [GO:0009154]; regulation of DNA-templated transcription [GO:0006355]; signal transduction [GO:0007165]	35605301	9
Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; cellular response to reactive oxygen species [GO:0034614]; dendrite development [GO:0016358]; dopamine biosynthetic process [GO:0042416]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotion involved in locomotory behavior [GO:0031987]; neuropeptide signaling pathway [GO:0007218]; positive regulation of dopamine metabolic process [GO:0045964]; positive regulation of MAPK cascade [GO:0043410]	41085015	8
Glomulin (FK506-binding protein-associated protein) (FAP) (FKBP-associated protein)	GLMN FAP48 FAP68 VMGLOM	cell surface receptor signaling pathway [GO:0007166]; epigenetic regulation of gene expression [GO:0040029]; muscle cell differentiation [GO:0042692]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of T cell proliferation [GO:0042130]; neural tube closure [GO:0001843]; positive regulation of cytokine production [GO:0001819]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of phosphorylation [GO:0042327]; regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032434]; vasculogenesis [GO:0001570]	29191979	4
DEP domain-containing mTOR-interacting protein (hDEPTOR) (DEP domain-containing protein 6)	DEPTOR DEPDC6	G protein-coupled receptor signaling pathway [GO:0007186]; intracellular signal transduction [GO:0035556]; negative regulation of cell size [GO:0045792]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of TOR signaling [GO:0032007]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of TORC2 signaling [GO:1903940]; positive regulation of autophagy [GO:0010508]; regulation of extrinsic apoptotic signaling pathway [GO:2001236]	40169856	42
F-box only protein 2	FBXO2 FBX2	ERAD pathway [GO:0036503]; glycoprotein catabolic process [GO:0006516]; negative regulation of cell population proliferation [GO:0008285]; protein modification process [GO:0036211]; protein ubiquitination [GO:0016567]; proteolysis [GO:0006508]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; regulation of protein ubiquitination [GO:0031396]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	41461633	21
F-box only protein 42 (Just one F-box and Kelch domain-containing protein)	FBXO42 FBX42 JFK KIAA1332		41484364	13
F-box only protein 41	FBXO41 FBX41 KIAA1940	chemical synaptic transmission [GO:0007268]; dentate gyrus development [GO:0021542]; gene expression [GO:0010467]; neuron maturation [GO:0042551]; neuron migration [GO:0001764]	35598880	2
F-box only protein 4	FBXO4 FBX4	cellular homeostasis [GO:0019725]; cellular response to ionizing radiation [GO:0071479]; cellular senescence [GO:0090398]; common myeloid progenitor cell proliferation [GO:0035726]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of protein localization to nucleus [GO:1900181]; positive regulation of protein polyubiquitination [GO:1902916]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of telomere maintenance via telomerase [GO:0032212]; post-transcriptional regulation of gene expression [GO:0010608]; protein destabilization [GO:0031648]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; regulation of DNA damage checkpoint [GO:2000001]; regulation of protein stability [GO:0031647]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; telomere maintenance [GO:0000723]; ubiquitin-dependent protein catabolic process [GO:0006511]	40599691	14
F-box only protein 38	FBXO38 SP329	adaptive immune response [GO:0002250]; positive regulation of neuron projection development [GO:0010976]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; protein K48-linked ubiquitination [GO:0070936]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	38990095	7
F-box only protein 36	FBXO36 FBX36		41916926	1
F-box only protein 33	FBXO33 FBX33	positive regulation of protein ubiquitination [GO:0031398]; protein ubiquitination [GO:0016567]	39206900	2
F-box only protein 32 (Atrogin-1) (Muscle atrophy F-box protein) (MAFbx)	FBXO32	cellular response to dexamethasone stimulus [GO:0071549]; negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process [GO:0062026]; protein ubiquitination [GO:0016567]; response to denervation involved in regulation of muscle adaptation [GO:0014894]	41713558	65
F-box only protein 31	FBXO31 FBX14 FBX31 PP2386	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cellular response to oxidative stress [GO:0034599]; DNA damage response [GO:0006974]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; signal transduction in response to DNA damage [GO:0042770]	42170439	30
F-box only protein 30	FBXO30 FBX30	chromatin organization [GO:0006325]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; gene expression [GO:0010467]; protein ubiquitination [GO:0016567]	36799168	5
F-box only protein 3	FBXO3 FBX3	protein ubiquitination [GO:0016567]; proteolysis [GO:0006508]; response to lipopolysaccharide [GO:0032496]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	38864940	19
F-box only protein 28	FBXO28 CENP-30 KIAA0483	protein polyubiquitination [GO:0000209]	37596321	11
F-box only protein 21	FBXO21 FBX21 KIAA0875	apoptotic process [GO:0006915]; cytokine-mediated signaling pathway [GO:0019221]; ERK1 and ERK2 cascade [GO:0070371]; hematopoietic stem cell differentiation [GO:0060218]; hematopoietic stem cell homeostasis [GO:0061484]; ubiquitin-dependent protein catabolic process [GO:0006511]	37689825	6
F-box only protein 16	FBXO16 FBX16		34333526	4
DET1 homolog (De-etiolated-1 homolog)	DET1	positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein ubiquitination [GO:0016567]; protein-containing complex assembly [GO:0065003]	41540009	18
F-box only protein 11 (Protein arginine N-methyltransferase 9) (Vitiligo-associated protein 1) (VIT-1)	FBXO11 FBX11 PRMT9 VIT1 UG063H01	negative regulation of epithelial to mesenchymal transition [GO:0010719]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; sensory perception of sound [GO:0007605]; ubiquitin-dependent protein catabolic process [GO:0006511]	41289019	41
F-box only protein 10	FBXO10 FBX10 PRMT11	apoptotic process [GO:0006915]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; ubiquitin-dependent protein catabolic process [GO:0006511]	38659932	13
F-box/LRR-repeat protein 7 (F-box and leucine-rich repeat protein 7) (F-box protein FBL6/FBL7)	FBXL7 FBL6 FBL7 KIAA0840	cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic cell cycle [GO:0000278]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]; ubiquitin-dependent protein catabolic process [GO:0006511]	37179372	13
F-box/LRR-repeat protein 6 (F-box and leucine-rich repeat protein 6) (F-box protein FBL6) (FBL6A)	FBXL6 FBL6	proteolysis [GO:0006508]; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process [GO:0031146]	41443404	5
