Protein Names	Gene Names	Gene Ontology	Supporting_PMID	Stress_Type	Paper_Count
TNF receptor-associated factor 1 (Epstein-Barr virus-induced protein 6)	TRAF1 EBI6	apoptotic process [GO:0006915]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; protein-containing complex assembly [GO:0065003]; regulation of canonical NF-kappaB signal transduction [GO:0043122]; regulation of extrinsic apoptotic signaling pathway [GO:2001236]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	41661096.0	Proteasomal Stress	43
E3 ubiquitin-protein ligase RLIM (EC 2.3.2.27) (LIM domain-interacting RING finger protein) (RING finger LIM domain-binding protein) (R-LIM) (RING finger protein 12) (RING-type E3 ubiquitin transferase RLIM) (Renal carcinoma antigen NY-REN-43)	RLIM RNF12	negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; protein ubiquitination [GO:0016567]; random inactivation of X chromosome [GO:0060816]; regulation of neurogenesis [GO:0050767]; ubiquitin-dependent protein catabolic process [GO:0006511]	41866032.0	Proteasomal Stress	43
Zinc finger protein RFP (EC 2.3.2.27) (RING finger protein 76) (Ret finger protein) (Tripartite motif-containing protein 27)	TRIM27 RFP RNF76	Arp2/3 complex-mediated actin nucleation [GO:0034314]; innate immune response [GO:0045087]; negative regulation of autophagy [GO:0010507]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type I interferon production [GO:0032480]; negative regulation of viral transcription [GO:0032897]; positive regulation of actin nucleation [GO:0051127]; protein K63-linked ubiquitination [GO:0070534]; protein sumoylation [GO:0016925]; retrograde transport, endosome to Golgi [GO:0042147]; spermatogenesis [GO:0007283]; suppression of viral release by host [GO:0044790]	40706920.0	Proteasomal Stress	43
Denticleless protein homolog (DDB1- and CUL4-associated factor 2) (Lethal(2) denticleless protein homolog) (Retinoic acid-regulated nuclear matrix-associated protein)	DTL CDT2 CDW1 DCAF2 L2DTL RAMP	DNA damage response [GO:0006974]; DNA replication [GO:0006260]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of protein catabolic process [GO:0045732]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; regulation of cell cycle [GO:0051726]; response to UV [GO:0009411]; rhythmic process [GO:0048511]; translesion synthesis [GO:0019985]; ubiquitin-dependent protein catabolic process [GO:0006511]	41461624.0	Proteasomal Stress	43
E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2)	DTX3L BBAP	defense response to virus [GO:0051607]; DNA damage checkpoint signaling [GO:0000077]; DNA repair-dependent chromatin remodeling [GO:0140861]; double-strand break repair [GO:0006302]; endosome to lysosome transport [GO:0008333]; innate immune response [GO:0045087]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; Notch signaling pathway [GO:0007219]; positive regulation of chromatin binding [GO:0035563]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of protein binding [GO:0032092]; positive regulation of protein localization to early endosome [GO:1902966]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of receptor catabolic process [GO:2000646]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	41935138.0	Proteasomal Stress	43
Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	PSMB9 LMP2 PSMB6i RING12	immune system process [GO:0002376]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	41020834.0	Proteasomal Stress	42
Thioredoxin-interacting protein (Thioredoxin-binding protein 2) (Vitamin D3 up-regulated protein 1)	TXNIP VDUP1	cellular response to oxidised low-density lipoprotein particle stimulus [GO:0140052]; cellular response to tumor cell [GO:0071228]; inflammatory response [GO:0006954]; keratinocyte differentiation [GO:0030216]; negative regulation of cell division [GO:0051782]; negative regulation of transcription by RNA polymerase II [GO:0000122]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of apoptotic process [GO:0043065]; protein import into nucleus [GO:0006606]; protein transport [GO:0015031]; regulation of cell population proliferation [GO:0042127]; response to calcium ion [GO:0051592]; response to estradiol [GO:0032355]; response to glucose [GO:0009749]; response to hydrogen peroxide [GO:0042542]; response to mechanical stimulus [GO:0009612]; response to oxidative stress [GO:0006979]; response to progesterone [GO:0032570]; response to xenobiotic stimulus [GO:0009410]	42015926.0	Proteasomal Stress	42
DEP domain-containing mTOR-interacting protein (hDEPTOR) (DEP domain-containing protein 6)	DEPTOR DEPDC6	G protein-coupled receptor signaling pathway [GO:0007186]; intracellular signal transduction [GO:0035556]; negative regulation of cell size [GO:0045792]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of TOR signaling [GO:0032007]; negative regulation of TORC1 signaling [GO:1904262]; negative regulation of TORC2 signaling [GO:1903940]; positive regulation of autophagy [GO:0010508]; regulation of extrinsic apoptotic signaling pathway [GO:2001236]	40169856.0	Proteasomal Stress	42
Ran GTPase-activating protein 1 (RanGAP1)	RANGAP1 KIAA1835 SD	activation of GTPase activity [GO:0090630]; cellular response to vasopressin [GO:1904117]; negative regulation of protein export from nucleus [GO:0046826]; nuclear export [GO:0051168]; protein sumoylation [GO:0016925]; response to axon injury [GO:0048678]; signal transduction [GO:0007165]	40640138.0	Proteasomal Stress	41
26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	PSMD2 TRAP2	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	41804662.0	Proteasomal Stress	41
26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Protein 55.11) (Tumor necrosis factor type 1 receptor-associated protein 2)	PSMD2 TRAP2	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	41804662.0	Proteasomal Stress	41
Tripartite motif-containing protein 26 (EC 2.3.2.27) (Acid finger protein) (AFP) (RING finger protein 95) (Zinc finger protein 173)	TRIM26 RNF95 ZNF173	host-mediated suppression of symbiont invasion [GO:0046597]; innate immune response [GO:0045087]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K11-linked ubiquitination [GO:0070979]; suppression of viral release by host [GO:0044790]	42163428.0	Proteasomal Stress	41
E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (E3 ligase for inhibin receptor) (EULIR) (HECT domain-containing protein 1)	HECTD1 KIAA1131	aorta development [GO:0035904]; heart valve development [GO:0003170]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]; ventricular septum development [GO:0003281]	42158826.0	Proteasomal Stress	41
F-box only protein 11 (Protein arginine N-methyltransferase 9) (Vitiligo-associated protein 1) (VIT-1)	FBXO11 FBX11 PRMT9 VIT1 UG063H01	negative regulation of epithelial to mesenchymal transition [GO:0010719]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; sensory perception of sound [GO:0007605]; ubiquitin-dependent protein catabolic process [GO:0006511]	41289019.0	Proteasomal Stress	41
E3 ubiquitin-protein ligase RNF126 (EC 2.3.2.27) (RING finger protein 126)	RNF126	cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; negative regulation of epidermal growth factor receptor signaling pathway [GO:0042059]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K27-linked ubiquitination [GO:0044314]; protein K29-linked ubiquitination [GO:0035519]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked ubiquitination [GO:0070534]; protein monoubiquitination [GO:0006513]; protein ubiquitination [GO:0016567]; regulation of cell population proliferation [GO:0042127]; retrograde transport, endosome to Golgi [GO:0042147]; ubiquitin-dependent protein catabolic process [GO:0006511]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]	42263131.0	Proteasomal Stress	40
Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24)	TRIM24 RNF82 TIF1 TIF1A	calcium ion homeostasis [GO:0055074]; cellular response to estrogen stimulus [GO:0071391]; epithelial cell proliferation [GO:0050673]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of epithelial cell proliferation [GO:0050680]; positive regulation of gene expression [GO:0010628]; protein catabolic process [GO:0030163]; protein ubiquitination [GO:0016567]; regulation of apoptotic process [GO:0042981]; regulation of protein stability [GO:0031647]; regulation of signal transduction by p53 class mediator [GO:1901796]; regulation of vitamin D receptor signaling pathway [GO:0070562]; response to peptide hormone [GO:0043434]; transcription by RNA polymerase II [GO:0006366]	40975747.0	Proteasomal Stress	40
Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-processing protease UBP-M) (Ubiquitin-specific-processing protease 16)	USP16 MSTP039	cell division [GO:0051301]; DNA damage response [GO:0006974]; mitotic nuclear division [GO:0140014]; monoubiquitinated protein deubiquitination [GO:0035520]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of ribosome biogenesis [GO:0090070]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translational elongation [GO:0045901]; protein deubiquitination [GO:0016579]; protein homotetramerization [GO:0051289]; proteolysis [GO:0006508]; regulation of cell cycle [GO:0051726]; regulation of transcription by RNA polymerase II [GO:0006357]	41797217.0	Proteasomal Stress	40
OTU domain-containing protein 3 (EC 3.4.19.12)	OTUD3 KIAA0459	cellular response to nutrient levels [GO:0031669]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; protein deubiquitination [GO:0016579]; protein K11-linked deubiquitination [GO:0035871]; protein K27-linked deubiquitination [GO:1990167]; protein K48-linked deubiquitination [GO:0071108]; protein K6-linked deubiquitination [GO:0044313]; protein stabilization [GO:0050821]; proteolysis [GO:0006508]	41763483.0	Proteasomal Stress	39
14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)	SFN HME1	cAMP/PKA signal transduction [GO:0141156]; establishment of skin barrier [GO:0061436]; intracellular protein localization [GO:0008104]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; keratinization [GO:0031424]; keratinocyte development [GO:0003334]; keratinocyte proliferation [GO:0043616]; negative regulation of innate immune response [GO:0045824]; negative regulation of keratinocyte proliferation [GO:0010839]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of stem cell proliferation [GO:2000647]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell growth [GO:0030307]; positive regulation of epidermal cell differentiation [GO:0045606]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein localization [GO:1903829]; protein export from nucleus [GO:0006611]; regulation of cell cycle [GO:0051726]; regulation of cell-cell adhesion [GO:0022407]; regulation of epidermal cell division [GO:0010482]; regulation of protein localization [GO:0032880]; release of cytochrome c from mitochondria [GO:0001836]; signal transduction [GO:0007165]; stem cell proliferation [GO:0072089]	32860670.0	Proteasomal Stress	38
DNA mismatch repair protein Mlh1 (MutL protein homolog 1)	MLH1 COCA2	double-strand break repair via nonhomologous end joining [GO:0006303]; female meiosis chromosome segregation [GO:0016321]; homologous chromosome pairing at meiosis [GO:0007129]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; isotype switching [GO:0045190]; male meiosis chromosome segregation [GO:0007060]; meiotic metaphase I homologous chromosome alignment [GO:0043060]; meiotic spindle midzone assembly [GO:0051257]; meiotic telomere clustering [GO:0045141]; mismatch repair [GO:0006298]; negative regulation of mitotic recombination [GO:0045950]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; oogenesis [GO:0048477]; positive regulation of isotype switching to IgA isotypes [GO:0048298]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; resolution of meiotic recombination intermediates [GO:0000712]; response to bacterium [GO:0009617]; somatic hypermutation of immunoglobulin genes [GO:0016446]; spermatogenesis [GO:0007283]	39032648.0	Proteasomal Stress	38
Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)	USP24 KIAA1057	protein deubiquitination [GO:0016579]; proteolysis [GO:0006508]; regulation of protein stability [GO:0031647]	42218160.0	Proteasomal Stress	38
E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II)	UBR2 C6orf133 KIAA0349	cellular response to L-leucine [GO:0071233]; heterochromatin formation [GO:0031507]; male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; negative regulation of TOR signaling [GO:0032007]; positive regulation of T cell receptor signaling pathway [GO:0050862]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; protein ubiquitination [GO:0016567]; reciprocal meiotic recombination [GO:0007131]; spermatogenesis [GO:0007283]; transposable element silencing [GO:0010526]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]	42102356.0	Proteasomal Stress	38
Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)	ADRM1 GP110	proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; transcription elongation by RNA polymerase II [GO:0006368]	41825124.0	Proteasomal Stress	38
E3 ubiquitin-protein ligase LRSAM1 (EC 2.3.2.27) (Leucine-rich repeat and sterile alpha motif-containing protein 1) (RING-type E3 ubiquitin transferase LRSAM1) (Tsg101-associated ligase) (hTAL)	LRSAM1 TAL UNQ6496/PRO21356	autophagy [GO:0006914]; negative regulation of endocytosis [GO:0045806]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of xenophagy [GO:1904417]; protein autoubiquitination [GO:0051865]; protein catabolic process [GO:0030163]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent endocytosis [GO:0070086]; viral budding [GO:0046755]	40861495.0	Proteasomal Stress	38
Proteasomal ubiquitin receptor ADRM1 (110 kDa cell membrane glycoprotein) (Gp110) (Adhesion-regulating molecule 1) (ARM-1) (Proteasome regulatory particle non-ATPase 13) (hRpn13) (Rpn13 homolog)	ADRM1 GP110	proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; transcription elongation by RNA polymerase II [GO:0006368]	41825124.0	Proteasomal Stress	38
NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-2) (EC 2.3.1.-) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	autophagy [GO:0006914]; cell division [GO:0051301]; cellular response to caloric restriction [GO:0061433]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to hypoxia [GO:0071456]; cellular response to oxidative stress [GO:0034599]; epigenetic regulation of gene expression [GO:0040029]; heterochromatin formation [GO:0031507]; innate immune response [GO:0045087]; lipid catabolic process [GO:0016042]; meiotic cell cycle [GO:0051321]; mitotic nuclear membrane reassembly [GO:0007084]; myelination in peripheral nervous system [GO:0022011]; negative regulation of autophagy [GO:0010507]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of oligodendrocyte progenitor proliferation [GO:0070446]; negative regulation of peptidyl-threonine phosphorylation [GO:0010801]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; negative regulation of satellite cell differentiation [GO:1902725]; negative regulation of striated muscle tissue development [GO:0045843]; negative regulation of transcription by RNA polymerase II [GO:0000122]; NLRP3 inflammasome complex assembly [GO:0044546]; peptidyl-lysine deacetylation [GO:0034983]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of cell division [GO:0051781]; positive regulation of DNA binding [GO:0043388]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of meiotic nuclear division [GO:0045836]; positive regulation of oocyte maturation [GO:1900195]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deacetylation [GO:0006476]; rDNA heterochromatin formation [GO:0000183]; regulation of cell cycle [GO:0051726]; regulation of exit from mitosis [GO:0007096]; regulation of myelination [GO:0031641]; regulation of phosphorylation [GO:0042325]; response to redox state [GO:0051775]; substantia nigra development [GO:0021762]; subtelomeric heterochromatin formation [GO:0031509]; tubulin deacetylation [GO:0090042]	42228402.0	Proteasomal Stress	37
Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain) (Proteasome subunit alpha-6) (alpha-6)	PSMA1 HC2 NU PROS30 PSC2	immune system process [GO:0002376]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	39382973.0	Proteasomal Stress	37
Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain) (Proteasome subunit alpha-6) (alpha-6)	PSMA1 HC2 NU PROS30 PSC2	immune system process [GO:0002376]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	39382973.0	Proteasomal Stress	37
Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (Homologous to E6AP carboxyl terminus homologous protein 2) (HectH2) (RTA-associated ubiquitin ligase) (RAUL)	UBE3C KIAA0010 KIAA10	protein K29-linked ubiquitination [GO:0035519]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]	41965876.0	Proteasomal Stress	37
Ubiquitin-protein ligase E3C (EC 2.3.2.26) (HECT-type ubiquitin transferase E3C) (Homologous to E6AP carboxyl terminus homologous protein 2) (HectH2) (RTA-associated ubiquitin ligase) (RAUL)	UBE3C KIAA0010 KIAA10	protein K29-linked ubiquitination [GO:0035519]; protein K48-linked ubiquitination [GO:0070936]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]	41965876.0	Proteasomal Stress	37
26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	42178458.0	Proteasomal Stress	36
26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]	42178458.0	Proteasomal Stress	36
Ubiquitin-conjugating enzyme E2 D3 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D3) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D3) (Ubiquitin carrier protein D3) (Ubiquitin-conjugating enzyme E2(17)KB 3) (Ubiquitin-conjugating enzyme E2-17 kDa 3) (Ubiquitin-protein ligase D3)	UBE2D3 UBC5C UBCH5C	apoptotic process [GO:0006915]; DNA repair [GO:0006281]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein targeting to mitochondrion [GO:1903955]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein K11-linked ubiquitination [GO:0070979]; protein K48-linked ubiquitination [GO:0070936]; protein K6-linked ubiquitination [GO:0085020]; protein modification process [GO:0036211]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	41315272.0	Proteasomal Stress	36
Cell division control protein 6 homolog (CDC6-related protein) (Cdc18-related protein) (HsCdc18) (p62(cdc6)) (HsCDC6)	CDC6 CDC18L	cell division [GO:0051301]; cellular response to angiotensin [GO:1904385]; cellular response to vasopressin [GO:1904117]; DNA replication checkpoint signaling [GO:0000076]; DNA replication initiation [GO:0006270]; mitotic DNA replication checkpoint signaling [GO:0033314]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA replication [GO:0008156]; positive regulation of chromosome segregation [GO:0051984]; positive regulation of cytokinesis [GO:0032467]; positive regulation of fibroblast proliferation [GO:0048146]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; traversing start control point of mitotic cell cycle [GO:0007089]	39582087.0	Proteasomal Stress	36
E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3)	TOPORS LUN TP53BPL	DNA damage response [GO:0006974]; DNA-templated transcription [GO:0006351]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; maintenance of protein location in nucleus [GO:0051457]; negative regulation of apoptotic process [GO:0043066]; photoreceptor cell outer segment organization [GO:0035845]; positive regulation of DNA-templated transcription [GO:0045893]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein localization to nucleus [GO:0034504]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein sumoylation [GO:0016925]; regulation of cell population proliferation [GO:0042127]; retina layer formation [GO:0010842]; ubiquitin-dependent protein catabolic process [GO:0006511]	40239066.0	Proteasomal Stress	35
E3 ubiquitin-protein ligase makorin-1 (EC 2.3.2.27) (RING finger protein 61) (RING-type E3 ubiquitin transferase makorin-1)	MKRN1 RNF61	protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]	41617974.0	Proteasomal Stress	35
26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	PSMD9	negative regulation of insulin secretion [GO:0046676]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of insulin secretion [GO:0032024]; proteasome regulatory particle assembly [GO:0070682]; ubiquitin-dependent protein catabolic process [GO:0006511]	41738541.0	Proteasomal Stress	35
Ubiquitin carboxyl-terminal hydrolase 37 (EC 3.4.19.12) (Deubiquitinating enzyme 37) (Ubiquitin thioesterase 37) (Ubiquitin-specific-processing protease 37)	USP37 KIAA1594	cell division [GO:0051301]; G1/S transition of mitotic cell cycle [GO:0000082]; protein deubiquitination [GO:0016579]; protein K11-linked deubiquitination [GO:0035871]; protein K48-linked deubiquitination [GO:0071108]; proteolysis [GO:0006508]; regulation of DNA replication [GO:0006275]; regulation of protein stability [GO:0031647]	40080254.0	Proteasomal Stress	35
Ubiquitin carboxyl-terminal hydrolase 38 (EC 3.4.19.12) (Deubiquitinating enzyme 38) (HP43.8KD) (Ubiquitin thioesterase 38) (Ubiquitin-specific-processing protease 38)	USP38 KIAA1891	negative regulation of innate immune response [GO:0045824]; negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; protein K33-linked deubiquitination [GO:1990168]; regulation of protein stability [GO:0031647]; ubiquitin-dependent protein catabolic process [GO:0006511]	42063616.0	Proteasomal Stress	35
Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6 MOP4 UBE1L2	DNA damage response [GO:0006974]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	41764162.0	Proteasomal Stress	35
E3 ubiquitin-protein ligase TRIM7 (EC 2.3.2.27) (Glycogenin-interacting protein) (RING finger protein 90) (Tripartite motif-containing protein 7)	TRIM7 GNIP RNF90	antiviral innate immune response [GO:0140374]; innate immune response [GO:0045087]; protein ubiquitination [GO:0016567]	41290618.0	Proteasomal Stress	35
F-box/SPRY domain-containing protein 1 (F-box only protein 45) (hFbxo45)	FBXO45 FBX45	anterior commissure morphogenesis [GO:0021960]; cerebral cortex radially oriented cell migration [GO:0021799]; cerebral cortex tangential migration [GO:0021800]; corticospinal tract morphogenesis [GO:0021957]; DNA damage response [GO:0006974]; neuron migration [GO:0001764]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein ubiquitination [GO:0016567]; regulation of synaptic vesicle exocytosis [GO:2000300]; synapse assembly involved in innervation [GO:0060386]; ubiquitin-dependent protein catabolic process [GO:0006511]	40752540.0	Proteasomal Stress	35
