Molecule-Related Stress		
This table was generated by retriving a list of proteins related to Caspases, Ferroptosis, Pore-formers, Cuproptosis, Pathanatos, and Anoikis found in both the UniProt and ProteinAtlas datasets to ensure high-confidence data		
		
Protein names	Gene Names	Gene Ontology (biological process)
E3 ubiquitin-protein ligase RNF144B (EC 2.3.2.31) (IBR domain-containing protein 2) (RING finger protein 144B) (p53-inducible RING finger protein)	RNF144B IBRDC2 P53RFP	apoptotic process [GO:0006915]; negative regulation of apoptotic process [GO:0043066]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]
Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11)	S100A10 ANX2LG CAL1L CLP11	membrane raft assembly [GO:0001765]; mRNA transcription by RNA polymerase II [GO:0042789]; positive regulation of exocytosis [GO:0045921]; positive regulation of focal adhesion assembly [GO:0051894]; positive regulation of GTPase activity [GO:0043547]; positive regulation of plasma membrane repair [GO:1905686]; positive regulation of plasminogen activation [GO:0010756]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to plasma membrane [GO:0072659]; regulation of neurogenesis [GO:0050767]; vesicle budding from membrane [GO:0006900]
Endophilin-B1 (Bax-interacting factor 1) (Bif-1) (SH3 domain-containing GRB2-like protein B1)	SH3GLB1 KIAA0491 CGI-61	de novo' post-translational protein folding [GO:0051084]; apoptotic process [GO:0006915]; autophagic cell death [GO:0048102]; autophagy [GO:0006914]; cellular response to amino acid starvation [GO:0034198]; cellular response to glucose starvation [GO:0042149]; membrane fission [GO:0090148]; membrane organization [GO:0061024]; phosphatidic acid biosynthetic process [GO:0006654]; positive regulation of autophagosome assembly [GO:2000786]; positive regulation of autophagy [GO:0010508]; positive regulation of membrane tubulation [GO:1903527]; positive regulation of protein targeting to mitochondrion [GO:1903955]; positive regulation of protein-containing complex assembly [GO:0031334]; protein localization to vacuolar membrane [GO:1903778]; receptor catabolic process [GO:0032801]; regulation of cytokinesis [GO:0032465]; regulation of macroautophagy [GO:0016241]; regulation of protein stability [GO:0031647]
NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]	SIRT1 SIR2L1	angiogenesis [GO:0001525]; behavioral response to starvation [GO:0042595]; cellular response to glucose starvation [GO:0042149]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to ionizing radiation [GO:0071479]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to starvation [GO:0009267]; cellular response to tumor necrosis factor [GO:0071356]; cholesterol homeostasis [GO:0042632]; chromatin organization [GO:0006325]; circadian regulation of gene expression [GO:0032922]; DNA damage response [GO:0006974]; DNA methylation-dependent constitutive heterochromatin formation [GO:0006346]; DNA repair-dependent chromatin remodeling [GO:0140861]; DNA synthesis involved in DNA repair [GO:0000731]; endoplasmic reticulum unfolded protein response [GO:0030968]; energy homeostasis [GO:0097009]; fatty acid homeostasis [GO:0055089]; heterochromatin formation [GO:0031507]; intracellular glucose homeostasis [GO:0001678]; intracellular triglyceride homeostasis [GO:0035356]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; leptin-mediated signaling pathway [GO:0033210]; macrophage differentiation [GO:0030225]; maintenance of nucleus location [GO:0051658]; muscle organ development [GO:0007517]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of apoptotic process [GO:0043066]; negative regulation of attachment of mitotic spindle microtubules to kinetochore [GO:1902424]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cell cycle [GO:0045786]; negative regulation of cellular response to testosterone stimulus [GO:2000655]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of gene expression [GO:0010629]; negative regulation of hippo signaling [GO:0035331]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of phosphorylation [GO:0042326]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of protein acetylation [GO:1901984]; negative regulation of signal transduction by p53 class mediator [GO:1901797]; negative regulation of TOR signaling [GO:0032007]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; negative regulation of triglyceride biosynthetic process [GO:0010868]; ovulation from ovarian follicle [GO:0001542]; peptidyl-lysine acetylation [GO:0018394]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of adipose tissue development [GO:1904179]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cAMP-dependent protein kinase activity [GO:2000481]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular senescence [GO:2000774]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of DNA repair [GO:0045739]; positive regulation of double-strand break repair [GO:2000781]; positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902237]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of macroautophagy [GO:0016239]; positive regulation of macrophage apoptotic process [GO:2000111]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deacetylation [GO:0006476]; protein depropionylation [GO:0106230]; protein destabilization [GO:0031648]; protein ubiquitination [GO:0016567]; pyrimidine dimer repair by nucleotide-excision repair [GO:0000720]; rDNA heterochromatin formation [GO:0000183]; regulation of apoptotic process [GO:0042981]; regulation of bile acid biosynthetic process [GO:0070857]; regulation of brown fat cell differentiation [GO:0090335]; regulation of cell population proliferation [GO:0042127]; regulation of cellular response to heat [GO:1900034]; regulation of centrosome duplication [GO:0010824]; regulation of endodeoxyribonuclease activity [GO:0032071]; regulation of glucose metabolic process [GO:0010906]; regulation of lipid storage [GO:0010883]; regulation of mitotic cell cycle [GO:0007346]; regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035358]; regulation of smooth muscle cell apoptotic process [GO:0034391]; regulation of transcription by glucose [GO:0046015]; response to hydrogen peroxide [GO:0042542]; response to insulin [GO:0032868]; response to leptin [GO:0044321]; response to oxidative stress [GO:0006979]; single strand break repair [GO:0000012]; spermatogenesis [GO:0007283]; stress-induced premature senescence [GO:0090400]; subtelomeric heterochromatin formation [GO:0031509]; transforming growth factor beta receptor signaling pathway [GO:0007179]; triglyceride mobilization [GO:0006642]; UV-damage excision repair [GO:0070914]; white fat cell differentiation [GO:0050872]
Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (EC 1.8.-.-) (Hydrogen sulfide oxidase) (Superoxide dismutase 1) (hSod1)	SOD1	action potential initiation [GO:0099610]; anterograde axonal transport [GO:0008089]; apoptotic process [GO:0006915]; auditory receptor cell stereocilium organization [GO:0060088]; cellular response to ATP [GO:0071318]; cellular response to cadmium ion [GO:0071276]; cellular response to potassium ion [GO:0035865]; determination of adult lifespan [GO:0008340]; ectopic germ cell programmed cell death [GO:0035234]; embryo implantation [GO:0007566]; gene expression [GO:0010467]; glutathione metabolic process [GO:0006749]; heart contraction [GO:0060047]; hydrogen peroxide biosynthetic process [GO:0050665]; intracellular iron ion homeostasis [GO:0006879]; locomotory behavior [GO:0007626]; muscle cell cellular homeostasis [GO:0046716]; myeloid cell homeostasis [GO:0002262]; negative regulation of developmental process [GO:0051093]; negative regulation of inflammatory response [GO:0050728]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of reproductive process [GO:2000242]; neurofilament cytoskeleton organization [GO:0060052]; neuronal action potential [GO:0019228]; ovarian follicle development [GO:0001541]; peripheral nervous system myelin maintenance [GO:0032287]; placenta development [GO:0001890]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cytokine production [GO:0001819]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902177]; positive regulation of phagocytosis [GO:0050766]; positive regulation of superoxide anion generation [GO:0032930]; reactive oxygen species metabolic process [GO:0072593]; regulation of blood pressure [GO:0008217]; regulation of GTPase activity [GO:0043087]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of multicellular organism growth [GO:0040014]; regulation of organ growth [GO:0046620]; regulation of T cell differentiation in thymus [GO:0033081]; relaxation of vascular associated smooth muscle [GO:0060087]; removal of superoxide radicals [GO:0019430]; response to amphetamine [GO:0001975]; response to antipsychotic drug [GO:0097332]; response to axon injury [GO:0048678]; response to carbon monoxide [GO:0034465]; response to copper ion [GO:0046688]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to nutrient levels [GO:0031667]; response to superoxide [GO:0000303]; response to xenobiotic stimulus [GO:0009410]; retina homeostasis [GO:0001895]; retrograde axonal transport [GO:0008090]; sensory perception of sound [GO:0007605]; spermatogenesis [GO:0007283]; superoxide anion generation [GO:0042554]; superoxide metabolic process [GO:0006801]; thymus development [GO:0048538]; transmission of nerve impulse [GO:0019226]
Signal transducer and activator of transcription 1-alpha/beta (Transcription factor ISGF-3 components p91/p84)	STAT1	blood circulation [GO:0008015]; cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cell surface receptor signaling pathway via STAT [GO:0097696]; cellular response to insulin stimulus [GO:0032869]; cellular response to interferon-beta [GO:0035458]; cellular response to type II interferon [GO:0071346]; defense response [GO:0006952]; defense response to virus [GO:0051607]; interleukin-27-mediated signaling pathway [GO:0070106]; interleukin-7-mediated signaling pathway [GO:0038111]; interleukin-9-mediated signaling pathway [GO:0038113]; metanephric mesenchymal cell differentiation [GO:0072162]; metanephric mesenchymal cell proliferation involved in metanephros development [GO:0072136]; negative regulation by virus of viral protein levels in host cell [GO:0046725]; negative regulation of angiogenesis [GO:0016525]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis [GO:0003340]; negative regulation of metanephric nephron tubule epithelial cell differentiation [GO:0072308]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of interferon-alpha production [GO:0032727]; positive regulation of mesenchymal cell proliferation [GO:0002053]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of apoptotic process [GO:0042981]; regulation of cell population proliferation [GO:0042127]; regulation of transcription by RNA polymerase II [GO:0006357]; renal tubule development [GO:0061326]; response to cAMP [GO:0051591]; response to hydrogen peroxide [GO:0042542]; response to interferon-beta [GO:0035456]; response to mechanical stimulus [GO:0009612]; response to nutrient [GO:0007584]; response to peptide hormone [GO:0043434]; response to type II interferon [GO:0034341]; response to xenobiotic stimulus [GO:0009410]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; type I interferon-mediated signaling pathway [GO:0060337]; type II interferon-mediated signaling pathway [GO:0060333]
Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	acute-phase response [GO:0006953]; astrocyte differentiation [GO:0048708]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cell surface receptor signaling pathway via STAT [GO:0097696]; cellular response to hormone stimulus [GO:0032870]; cellular response to interleukin-17 [GO:0097398]; cellular response to leptin stimulus [GO:0044320]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; eating behavior [GO:0042755]; energy homeostasis [GO:0097009]; eye photoreceptor cell differentiation [GO:0001754]; glucose homeostasis [GO:0042593]; growth hormone receptor signaling pathway [GO:0060396]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; inflammatory response [GO:0006954]; interleukin-10-mediated signaling pathway [GO:0140105]; interleukin-11-mediated signaling pathway [GO:0038154]; interleukin-15-mediated signaling pathway [GO:0035723]; interleukin-2-mediated signaling pathway [GO:0038110]; interleukin-23-mediated signaling pathway [GO:0038155]; interleukin-6-mediated signaling pathway [GO:0070102]; interleukin-9-mediated signaling pathway [GO:0038113]; intracellular receptor signaling pathway [GO:0030522]; leptin-mediated signaling pathway [GO:0033210]; modulation of chemical synaptic transmission [GO:0050804]; mRNA transcription by RNA polymerase II [GO:0042789]; negative regulation of autophagy [GO:0010507]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of gene expression [GO:0010629]; negative regulation of glycolytic process [GO:0045820]; negative regulation of hydrogen peroxide biosynthetic process [GO:0010730]; negative regulation of inflammatory response to wounding [GO:0106015]; negative regulation of neuron migration [GO:2001223]; negative regulation of primary miRNA processing [GO:2000635]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nervous system development [GO:0007399]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of angiogenesis [GO:0045766]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of cell migration [GO:0030335]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of extracellular matrix disassembly [GO:0090091]; positive regulation of gene expression [GO:0010628]; positive regulation of growth factor dependent skeletal muscle satellite cell proliferation [GO:1902728]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-10 production [GO:0032733]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of phagocytosis [GO:0050766]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial cell proliferation [GO:1905564]; positive regulation of vascular endothelial growth factor production [GO:0010575]; postsynapse to nucleus signaling pathway [GO:0099527]; protein import into nucleus [GO:0006606]; radial glial cell differentiation [GO:0060019]; regulation of cell cycle [GO:0051726]; regulation of cell population proliferation [GO:0042127]; regulation of cellular response to hypoxia [GO:1900037]; regulation of DNA-templated transcription [GO:0006355]; regulation of feeding behavior [GO:0060259]; regulation of mitochondrial membrane permeability [GO:0046902]; regulation of multicellular organism growth [GO:0040014]; regulation of transcription by RNA polymerase II [GO:0006357]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]; response to ischemia [GO:0002931]; response to leptin [GO:0044321]; response to peptide hormone [GO:0043434]; retinal rod cell differentiation [GO:0060221]; signal transduction [GO:0007165]; somatic stem cell population maintenance [GO:0035019]; T-helper 17 cell lineage commitment [GO:0072540]; T-helper 17 type immune response [GO:0072538]; temperature homeostasis [GO:0001659]; transforming growth factor beta receptor signaling pathway [GO:0007179]
Transforming growth factor beta-1 proprotein [Cleaved into: Latency-associated peptide (LAP); Transforming growth factor beta-1 (TGF-beta-1)]	TGFB1 TGFB	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains [GO:0002460]; aortic valve morphogenesis [GO:0003180]; ATP biosynthetic process [GO:0006754]; branch elongation involved in mammary gland duct branching [GO:0060751]; bronchiole development [GO:0060435]; canonical Wnt signaling pathway [GO:0060070]; cell morphogenesis [GO:0000902]; cell-cell junction organization [GO:0045216]; cellular response to acetaldehyde [GO:1905641]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to glucose stimulus [GO:0071333]; cellular response to hypoxia [GO:0071456]; cellular response to insulin-like growth factor stimulus [GO:1990314]; cellular response to ionizing radiation [GO:0071479]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to mechanical stimulus [GO:0071260]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to virus [GO:0098586]; chondrocyte differentiation [GO:0002062]; columnar/cuboidal epithelial cell maturation [GO:0002069]; connective tissue replacement involved in inflammatory response wound healing [GO:0002248]; defense response to fungus [GO:0050832]; digestive tract development [GO:0048565]; embryonic liver development [GO:1990402]; endoderm development [GO:0007492]; epithelial cell proliferation [GO:0050673]; epithelial to mesenchymal transition [GO:0001837]; extracellular matrix assembly [GO:0085029]; extrinsic apoptotic signaling pathway [GO:0097191]; face morphogenesis [GO:0060325]; female pregnancy [GO:0007565]; frontal suture morphogenesis [GO:0060364]; gene expression [GO:0010467]; germ cell migration [GO:0008354]; heart development [GO:0007507]; heart valve morphogenesis [GO:0003179]; hematopoietic progenitor cell differentiation [GO:0002244]; hyaluronan catabolic process [GO:0030214]; inner ear development [GO:0048839]; intracellular calcium ion homeostasis [GO:0006874]; Langerhans cell differentiation [GO:0061520]; lens fiber cell differentiation [GO:0070306]; liver regeneration [GO:0097421]; lung alveolus development [GO:0048286]; lymph node development [GO:0048535]; macrophage derived foam cell differentiation [GO:0010742]; mammary gland branching involved in thelarche [GO:0060744]; membrane protein intracellular domain proteolysis [GO:0031293]; muscle cell cellular homeostasis [GO:0046716]; myelination [GO:0042552]; myofibroblast differentiation [GO:0036446]; negative regulation of biomineral tissue development [GO:0070168]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of cell cycle [GO:0045786]; negative regulation of cell differentiation [GO:0045596]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of extracellular matrix disassembly [GO:0010716]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of gene expression [GO:0010629]; negative regulation of hyaluronan biosynthetic process [GO:1900126]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of macrophage cytokine production [GO:0010936]; negative regulation of miRNA transcription [GO:1902894]; negative regulation of myoblast differentiation [GO:0045662]; negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target [GO:0002859]; negative regulation of neuroblast proliferation [GO:0007406]; negative regulation of ossification [GO:0030279]; negative regulation of phagocytosis [GO:0050765]; negative regulation of protein localization to plasma membrane [GO:1903077]; negative regulation of release of sequestered calcium ion into cytosol [GO:0051280]; negative regulation of skeletal muscle tissue development [GO:0048642]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural tube closure [GO:0001843]; neural tube development [GO:0021915]; neuron apoptotic process [GO:0051402]; Notch signaling pathway [GO:0007219]; odontoblast differentiation [GO:0071895]; odontogenesis of dentin-containing tooth [GO:0042475]; oligodendrocyte development [GO:0014003]; osteoclast differentiation [GO:0030316]; phosphate-containing compound metabolic process [GO:0006796]; phospholipid homeostasis [GO:0055091]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of branching involved in ureteric bud morphogenesis [GO:0090190]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of cardiac muscle cell differentiation [GO:2000727]; positive regulation of cell division [GO:0051781]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000343]; positive regulation of chemotaxis [GO:0050921]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of epidermal growth factor receptor signaling pathway [GO:0045742]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exit from mitosis [GO:0031536]; positive regulation of extracellular matrix assembly [GO:1901203]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of gene expression [GO:0010628]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of isotype switching to IgA isotypes [GO:0048298]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mesenchymal stem cell proliferation [GO:1902462]; positive regulation of microglia differentiation [GO:0014008]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of mononuclear cell migration [GO:0071677]; positive regulation of odontogenesis [GO:0042482]; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]; positive regulation of primary miRNA processing [GO:2000636]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of protein secretion [GO:0050714]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of receptor signaling pathway via STAT [GO:1904894]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of SMAD protein signal transduction [GO:0060391]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of superoxide anion generation [GO:0032930]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of vascular endothelial growth factor production [GO:0010575]; positive regulation of vascular permeability [GO:0043117]; positive regulation of vasculature development [GO:1904018]; protein export from nucleus [GO:0006611]; receptor catabolic process [GO:0032801]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of blood vessel remodeling [GO:0060312]; regulation of branching involved in mammary gland duct morphogenesis [GO:0060762]; regulation of cartilage development [GO:0061035]; regulation of cell migration [GO:0030334]; regulation of cell population proliferation [GO:0042127]; regulation of enamel mineralization [GO:0070173]; regulation of interleukin-23 production [GO:0032667]; regulation of protein import into nucleus [GO:0042306]; regulation of sodium ion transport [GO:0002028]; regulation of striated muscle tissue development [GO:0016202]; regulatory T cell differentiation [GO:0045066]; response to cholesterol [GO:0070723]; response to estradiol [GO:0032355]; response to ethanol [GO:0045471]; response to gamma radiation [GO:0010332]; response to immobilization stress [GO:0035902]; response to laminar fluid shear stress [GO:0034616]; response to progesterone [GO:0032570]; response to salt [GO:1902074]; response to vitamin D [GO:0033280]; response to wounding [GO:0009611]; response to xenobiotic stimulus [GO:0009410]; retina vasculature development in camera-type eye [GO:0061298]; salivary gland morphogenesis [GO:0007435]; sprouting angiogenesis [GO:0002040]; stem cell proliferation [GO:0072089]; surfactant homeostasis [GO:0043129]; T cell homeostasis [GO:0043029]; T cell proliferation [GO:0042098]; tolerance induction to self antigen [GO:0002513]; transforming growth factor beta receptor signaling pathway [GO:0007179]; ureteric bud development [GO:0001657]; vasculogenesis [GO:0001570]; ventricular cardiac muscle tissue morphogenesis [GO:0055010]
Tumor necrosis factor receptor superfamily member 21 (Death receptor 6) (CD antigen CD358)	TNFRSF21 DR6 UNQ437/PRO868	adaptive immune response [GO:0002250]; apoptotic process [GO:0006915]; axonal fasciculation [GO:0007413]; B cell apoptotic process [GO:0001783]; cellular response to tumor necrosis factor [GO:0071356]; humoral immune response [GO:0006959]; myelination [GO:0042552]; negative regulation of B cell proliferation [GO:0030889]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of interleukin-13 production [GO:0032696]; negative regulation of interleukin-5 production [GO:0032714]; negative regulation of myelination [GO:0031642]; negative regulation of T cell proliferation [GO:0042130]; neuron apoptotic process [GO:0051402]; oligodendrocyte apoptotic process [GO:0097252]; regulation of oligodendrocyte differentiation [GO:0048713]; T cell receptor signaling pathway [GO:0050852]
Mitochondrial import receptor subunit TOM70 (Mitochondrial precursor proteins import receptor) (Translocase of outer membrane 70 kDa subunit) (Translocase of outer mitochondrial membrane protein 70)	TOMM70 KIAA0719 TOM70 TOMM70A	activation of innate immune response [GO:0002218]; cellular response to virus [GO:0098586]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of interferon-beta production [GO:0032728]; positive regulation of protein targeting to mitochondrion [GO:1903955]; protein import into mitochondrial matrix [GO:0030150]; protein insertion into mitochondrial inner membrane [GO:0045039]; protein insertion into mitochondrial outer membrane [GO:0045040]; protein targeting to mitochondrion [GO:0006626]; regulation of apoptotic process [GO:0042981]; response to thyroxine [GO:0097068]
